operational_date_0700,evidence_class,status
2025-10-12,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-10-17,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-10-18,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-10-19,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-10-21,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-10-26,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-10-28,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-10-31,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-11-04,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-11-05,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-11-06,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-11-08,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-11-09,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-11-11,EXPLICIT_ZERO,WORKING_INCLUDE
2025-11-21,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2025-11-24,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-04-12,EXPLICIT_ZERO,WORKING_INCLUDE
2026-04-13,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-04-15,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-04-17,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-04-19,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-04-20,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-01,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-02,INDEPENDENT_OMITTED_EVIDENCE,WORKING_INCLUDE
2026-05-03,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-05,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-07,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-09,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-10,INDEPENDENT_OMITTED_EVIDENCE,WORKING_INCLUDE
2026-05-11,INDEPENDENT_OMITTED_EVIDENCE,WORKING_INCLUDE
2026-05-13,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-15,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-18,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-19,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-21,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
