ID,日付,時刻,種別,イベント,数,地域,緯度,経度,ソース
8,2025-10-01,20:40,ハブ,roadkill_sighting,1,小名瀬〜阿室釜,,,recovered
9,2025-10-03,22:00,ハブ,sighting,1,古志,,,recovered
13,2025-10-16,20:30,ハブ,roadkill_sighting,1,小名瀬,,,recovered
14,2025-10-16,21:00頃,ハブ,roadkill_sighting,1,古志〜伊目間,,,recovered
18,2025-10-18,18:30直後,ハブ,roadkill_sighting,1,嘉鉄付近,,,recovered
19,2025-10-18,22:40頃,ハブ,roadkill_sighting,1,小名瀬,,,recovered
22,2025-10-21,18:45,ハブ,roadkill_sighting,1,住用（役勝）,,,recovered
23,2025-10-21,21:10頃,ハブ,roadkill_sighting,1,大和村,,,recovered
27,2025-10-21,23:00頃,ハブ,roadkill_sighting,1,湯湾集落付近,,,recovered
41,2025-11-11,night,ハブ,no_capture,0,瀬戸内町各地,,,recovered
43,2025-11-18,直後,ハブ,roadkill_sighting,1,嘉鉄付近,,,recovered
48,2025-11-24,夜,ハブ,sighting,1,嘉徳林道,,,recovered
49,2026-04-12,19:30-20:30,ハブ,no_capture,0,瀬戸内町各地,,,recovered
51,2026-04-13,不明,ハブ,roadkill_sighting,1,住用 役勝トンネル付近,,,recovered
53,2026-04-15,21:55,ハブ,roadkill_sighting,1,小名瀬〜篠川,,,recovered
80,2026-05-27,不明,ハブ,roadkill_sighting,1,不明,,,handoff_yaml_2026-05-30
89,2026-06-05,02:30,ハブ,轢死,1,瀬戸内町県道626号トゥンキャンー清水間,28.13550766879416,129.3233864563285,user_log_2026-06-04_05
90,2026-06-06,21:00,ハブ,轢死,1,瀬戸内町節子,28.16697734244174,129.3707550931915,user_log_2026-06-06_07
103,2026-06-13,03:27,ハブ,轢死,1,瀬戸内町県道626号清水神社付近,28.13223101341507,129.3330829882544,user_log_2026-06-12_13
110,2026-06-17,23:44,ハブ,轢死,1,瀬戸内町国道58号,28.17276197022588,129.3469503802521,user_log_complete_to_2026-06-18
116,2026-06-20,21:20,ハブ,轢死,1,瀬戸内町県道626号,28.13369952128203,129.3322949254579,user_log_2026-06-20_added_2026-06-23
124,2026-06-22,22:47,ハブ,轢死,1,瀬戸内町網野子,28.17310092174238,129.3623757587023,user_log_2026-06-22_added_2026-06-23
128,2026-06-23,02:50,ハブ,轢死,1,瀬戸内町県道79号,28.1650508224788,129.2908068195519,user_log_2026-06-22_added_2026-06-23
134,2026-06-25,02:00,ハブ,轢死,1,瀬戸内町県道79号,28.1646225167271,129.2924558186511,user_log_complete_2026-06-23_29_added_2026-06-29
183,2026-07-02,02:08,ハブ,轢死,1,瀬戸内町県道79号,28.20884175936882,129.2875080039422,user_log_2026-07_full
184,2026-07-20,22:40,ハブ,目撃,1,,28.188455439595,129.3848898030255,user_log_2026-07_full
185,2026-07-30,23:05,ハブ,目撃,1,瀬戸内町県道626号,28.13856946307065,129.3467166089726,user_log_2026-07_full
186,2026-07-31,04:40,ハブ,轢死,1,瀬戸内町県道79号,28.17245620517088,129.2962106118228,user_log_2026-07_full
191,2026-05-07,23:02,ハブ,轢死,1,網野子,28.18095741796138,129.3653131184442,ハブログ5~7月.txt
192,2026-05-10,23:02,ハブ,轢死,1,,28.25171181139483,129.3356634400375,ハブログ5~7月.txt
193,2026-05-19,19:56,ハブ,轢死,1,県道79号,28.15367273057639,129.2938729004276,ハブログ5~7月.txt
194,2026-05-21,23:20,ハブ,轢死,1,古仁屋881-5,28.15311865741571,129.3137183678387,ハブログ5~7月.txt
195,2026-05-29,09:05,ハブ,轢死,1,国道58号,28.21392620916312,129.3667983078671,ハブログ5~7月.txt
199,2026-08-02,03:48,ハブ,轢死,1,,28.19392442520336,129.3639142641858,ハブログ8月17日なう.txt
205,2026-08-04,02:06,ハブ,目撃,1,古仁屋瀬久井西5-1,28.14557852113017,129.3200551434617,ハブログ8月17日なう.txt
206,2026-08-05,23:54,ハブ,轢死,1,国道58号,28.23366672268904,129.3690452446503,ハブログ8月17日なう.txt
207,2026-08-06,00:17,ハブ,目撃,1,嘉徳,28.18670208110825,129.380448775012,ハブログ8月17日なう.txt
210,2026-08-09,21:57,ハブ,轢死,1,伊須,28.16030767095019,129.3466554759535,ハブログ8月17日なう.txt
219,2026-08-13,20:58,ハブ,轢死,1,,28.15745678712505,129.3488307158192,ハブログ8月17日なう.txt
225,2026-08-16,00:39,ハブ,轢死,1,県道79号,28.17250928850329,129.2958219437927,ハブログ8月17日なう.txt
228,2026-08-19,21:07,ハブ,轢死,1,伊須,28.14310477040075,129.3526276608095,8:2~8:29ハブ.txt
