ID,日付,時刻,種別,イベント,数,サイズ,地域,緯度,経度,天候,気温,月齢,潮,上げ下げ,運用日_7時,運用月,ソース
160,2026-07-17,02:59,ハブ,捕獲,1,小,瀬戸内町久根津806-2,28.16894206540402,129.2994006170226,,,,,,46220,2026-07,user_log_2026-07_full
161,2026-07-17,21:53,ハブ,捕獲,1,小,瀬戸内町県道626号,28.13983225979327,129.3487588891908,,,,,,46220,2026-07,user_log_2026-07_full
162,2026-07-17,23:12,ハブ,捕獲,1,小,,28.19385485854366,129.3874647745032,,,,,,46220,2026-07,user_log_2026-07_full
163,2026-07-17,23:24,ハブ,捕獲,1,中,瀬戸内町嘉徳,28.19222821338526,129.3999697276595,,,,,,46220,2026-07,user_log_2026-07_full
164,2026-07-20,22:25,ハブ,捕獲,1,小,瀬戸内町網野子峠,,,,,,,,46223,2026-07,user_log_2026-07_full
165,2026-07-20,23:01,ハブ,捕獲,1,中,瀬戸内町嘉徳,28.19282543288856,129.3991281208487,,,,,,46223,2026-07,user_log_2026-07_full
166,2026-07-20,23:53,ハブ,捕獲,1,大,,28.17454929787473,129.3991290641916,,,,,,46223,2026-07,user_log_2026-07_full
167,2026-07-23,05:23,ハブ,捕獲,1,中,,28.16773010420442,129.2999220361275,,,,,,46226,2026-07,user_log_2026-07_full
168,2026-07-25,02:51,ハブ,捕獲,1,大,,28.17397677319794,129.3945766400743,,,,,,46228,2026-07,user_log_2026-07_full
169,2026-07-25,03:00,ハブ,捕獲,1,大,,28.17496580962809,129.3981404242313,,,,,,46228,2026-07,user_log_2026-07_full
170,2026-07-25,03:25,ハブ,捕獲,1,大,瀬戸内町節子,28.16423132197319,129.3934770519625,,,,,,46228,2026-07,user_log_2026-07_full
171,2026-07-25,03:41,ハブ,捕獲,1,小,瀬戸内町節子,28.16556573623879,129.3862833831791,,,,,,46228,2026-07,user_log_2026-07_full
172,2026-07-26,00:25,ハブ,捕獲,1,小,瀬戸内町県道626号,28.13981345194561,129.3487861600131,,,,,,46229,2026-07,user_log_2026-07_full
173,2026-07-26,02:14,ハブ,捕獲,1,小,瀬戸内町嘉徳,28.18714869520803,129.3986695806539,,,,,,46229,2026-07,user_log_2026-07_full
174,2026-07-26,02:41,ハブ,捕獲,1,大,瀬戸内町節子,28.17448958751632,129.3954232655023,,,,,,46229,2026-07,user_log_2026-07_full
175,2026-07-26,03:36,ハブ,捕獲,1,小,瀬戸内町節子1335,28.165363004519,129.3833373649567,,,,,,46229,2026-07,user_log_2026-07_full
176,2026-07-26,03:48,ハブ,捕獲,1,小,瀬戸内町節子,28.17087632246033,129.3796340395819,,,,,,46229,2026-07,user_log_2026-07_full
177,2026-07-27,00:00,ハブ,捕獲,1,大,瀬戸内町節子,28.16499690121304,129.39467622539,,,,,,46230,2026-07,user_log_2026-07_full
178,2026-07-27,00:21,ハブ,捕獲,1,小,,28.17247413050168,129.3983310399779,,,,,,46230,2026-07,user_log_2026-07_full
179,2026-07-31,00:51,ハブ,捕獲,1,大,瀬戸内町節子,28.16438135624919,129.3910046679597,,,,,,46234,2026-07,user_log_2026-07_full
180,2026-07-31,01:58,ハブ,捕獲,1,大,,28.18330149104042,129.3963251425054,,,,,,46234,2026-07,user_log_2026-07_full
181,2026-07-31,03:18,ハブ,捕獲,1,大,瀬戸内町網野子,28.18487764989277,129.370060279977,,,,,,46234,2026-07,user_log_2026-07_full
182,2026-08-01,00:35,ハブ,捕獲,1,小,,28.18447486076975,129.397490137615,,,,,,46235,2026-08,user_log_2026-07_full
187,2026-07-01,01:12,ハブ,捕獲,1,中,瀬戸内町節子,28.16764698943405,129.3813150704761,,,,,,46204,2026-07,user_log_2026-06-30
188,2026-07-01,02:04,ハブ,捕獲,1,中,瀬戸内町網野子70-3,28.16887255304391,129.3641557379789,,,,,,46204,2026-07,user_log_2026-06-30
189,2026-07-01,03:02,ハブ,捕獲,1,小,瀬戸内町久根津1019,28.16867053969347,129.2986095970786,,,,,,46204,2026-07,user_log_2026-06-30
190,2026-07-01,03:22,ハブ,捕獲,1,小,瀬戸内町油井1023-4,28.17869531783585,129.2943885630964,,,,,,46204,2026-07,user_log_2026-06-30
196,2026-08-02,00:50,ハブ,捕獲,1,中,阿木名,28.16784377023349,129.3368015044549,,,,,,46236,2026-08,ハブログ8月17日なう.txt
197,2026-08-02,01:43,ハブ,捕獲,1,大,節子,28.16391857735673,129.3904589187808,,,,,,46236,2026-08,ハブログ8月17日なう.txt
198,2026-08-02,02:20,ハブ,捕獲,1,大,節子,28.17448552822773,129.3991489164011,,,,,,46236,2026-08,ハブログ8月17日なう.txt
200,2026-08-03,00:01,ハブ,捕獲,1,小,県道626号,28.1401033329104,129.3488082537958,,,,,,46237,2026-08,ハブログ8月17日なう.txt
201,2026-08-03,01:45,ハブ,捕獲,1,中,,28.18629334918014,129.3984246550308,,,,,,46237,2026-08,ハブログ8月17日なう.txt
202,2026-08-03,02:38,ハブ,捕獲,1,大,節子,28.16483521807404,129.394938257724,,,,,,46237,2026-08,ハブログ8月17日なう.txt
203,2026-08-03,23:34,ハブ,捕獲,1,大,,28.16482505232971,129.390767555647,,,,,,46237,2026-08,ハブログ8月17日なう.txt
204,2026-08-03,23:38,ハブ,捕獲,1,大,,28.16396140884933,129.390248644394,,,,,,46237,2026-08,ハブログ8月17日なう.txt
208,2026-08-06,01:11,ハブ,捕獲,1,小,節子,28.17191374066648,129.3982474991073,,,,,,46240,2026-08,ハブログ8月17日なう.txt
209,2026-08-06,01:47,ハブ,捕獲,1,大,節子,28.16631845715695,129.3876464208157,,,,,,46240,2026-08,ハブログ8月17日なう.txt
211,2026-08-10,00:03,ハブ,捕獲,1,大,,28.17113135385257,129.3963921663737,,,,,,46244,2026-08,ハブログ8月17日なう.txt
212,2026-08-10,01:38,ハブ,捕獲,1,極小,久根津1022,28.16864873235512,129.2987224485423,,,,,,46244,2026-08,ハブログ8月17日なう.txt
213,2026-08-11,23:32,ハブ,捕獲,1,大,,28.17893067464573,129.3943322119328,,,,,,46245,2026-08,ハブログ8月17日なう.txt
214,2026-08-12,00:15,ハブ,捕獲,1,大,,28.16499992144932,129.3963838515218,,,,,,46246,2026-08,ハブログ8月17日なう.txt
215,2026-08-12,22:28,ハブ,捕獲,1,中,節子,28.16443546510732,129.3951324019098,,,,,,46246,2026-08,ハブログ8月17日なう.txt
216,2026-08-12,23:12,ハブ,捕獲,1,小,,28.17642769034414,129.3955752641599,,,,,,46246,2026-08,ハブログ8月17日なう.txt
217,2026-08-13,01:42,ハブ,捕獲,1,小,久根津469,28.17024567113178,129.3000524386923,,,,,,46247,2026-08,ハブログ8月17日なう.txt
218,2026-08-13,02:01,ハブ,捕獲,1,中,小名瀬,28.19472165899677,129.2832366336449,,,,,,46247,2026-08,ハブログ8月17日なう.txt
