time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,weather_code,surface_pressure,cloud_cover
2026-05-10 00:00:00,18.1,87,15.9,0.0,3,1015.9,84
2026-05-10 01:00:00,17.9,87,15.7,0.0,2,1015.4,59
2026-05-10 02:00:00,17.6,85,15.0,0.0,3,1014.8,100
2026-05-10 03:00:00,17.9,82,14.8,0.0,3,1014.7,100
2026-05-10 04:00:00,18.0,80,14.5,0.0,3,1014.9,100
2026-05-10 05:00:00,18.1,78,14.3,0.0,3,1014.9,100
2026-05-10 06:00:00,18.0,78,14.1,0.0,3,1015.3,100
2026-05-10 07:00:00,18.9,75,14.3,0.0,3,1016.0,89
2026-05-10 08:00:00,19.9,67,13.6,0.0,3,1015.8,100
2026-05-10 09:00:00,21.0,66,14.4,0.0,3,1015.9,94
2026-05-10 10:00:00,21.5,65,14.6,0.0,3,1016.2,91
2026-05-10 11:00:00,21.8,64,14.8,0.0,3,1016.2,97
2026-05-10 12:00:00,21.9,64,14.8,0.0,3,1015.6,98
2026-05-10 13:00:00,22.0,63,14.7,0.0,2,1015.1,70
2026-05-10 14:00:00,22.1,61,14.4,0.0,3,1014.6,100
2026-05-10 15:00:00,22.0,62,14.5,0.0,3,1014.5,86
2026-05-10 16:00:00,21.9,63,14.6,0.0,3,1013.8,99
2026-05-10 17:00:00,21.6,65,14.7,0.0,3,1013.9,100
2026-05-10 18:00:00,21.1,70,15.4,0.0,3,1013.7,100
2026-05-10 19:00:00,20.9,70,15.3,0.0,3,1014.1,80
2026-05-10 20:00:00,20.8,69,14.9,0.0,3,1014.6,100
2026-05-10 21:00:00,20.3,80,16.8,0.0,3,1015.1,100
2026-05-10 22:00:00,20.1,82,17.0,0.1,51,1015.2,100
2026-05-10 23:00:00,20.2,82,16.9,0.0,3,1014.9,100
2026-05-11 00:00:00,20.2,80,16.6,0.0,3,1014.5,100
2026-05-11 01:00:00,20.8,74,16.1,0.0,3,1013.6,100
2026-05-11 02:00:00,21.1,74,16.2,0.0,3,1012.9,100
2026-05-11 03:00:00,20.9,75,16.4,0.0,3,1012.6,100
2026-05-11 04:00:00,20.3,83,17.3,0.3,51,1012.1,100
2026-05-11 05:00:00,20.1,88,18.1,0.8,53,1011.9,100
2026-05-11 06:00:00,20.0,91,18.5,1.2,55,1011.8,100
2026-05-11 07:00:00,19.6,97,19.1,2.2,61,1011.8,100
2026-05-11 08:00:00,19.7,97,19.2,2.5,63,1012.0,100
2026-05-11 09:00:00,20.4,95,19.6,3.2,63,1012.6,100
2026-05-11 10:00:00,20.2,98,19.8,2.3,61,1012.6,100
2026-05-11 11:00:00,20.6,97,20.1,1.0,55,1012.7,100
2026-05-11 12:00:00,21.1,91,19.6,0.6,53,1012.1,100
2026-05-11 13:00:00,21.3,91,19.8,0.3,51,1011.7,100
2026-05-11 14:00:00,21.0,90,19.2,0.1,51,1010.9,100
2026-05-11 15:00:00,20.8,89,18.9,0.4,51,1009.8,100
2026-05-11 16:00:00,20.7,88,18.7,0.2,51,1009.7,100
2026-05-11 17:00:00,20.6,87,18.3,0.2,51,1009.7,100
2026-05-11 18:00:00,20.5,86,18.1,0.0,3,1009.5,100
2026-05-11 19:00:00,20.3,86,17.8,0.0,3,1009.9,100
2026-05-11 20:00:00,20.6,83,17.7,0.0,3,1010.2,100
2026-05-11 21:00:00,20.2,90,18.4,0.0,3,1010.0,100
2026-05-11 22:00:00,20.2,88,18.2,0.0,3,1010.5,100
2026-05-11 23:00:00,20.6,86,18.2,0.0,3,1010.4,100
2026-05-12 00:00:00,20.6,86,18.2,0.0,3,1009.9,100
2026-05-12 01:00:00,20.7,86,18.2,0.0,3,1009.5,100
2026-05-12 02:00:00,20.6,86,18.2,0.0,3,1008.5,100
2026-05-12 03:00:00,20.3,88,18.3,0.0,2,1008.2,68
2026-05-12 04:00:00,20.2,88,18.2,0.0,3,1007.8,100
2026-05-12 05:00:00,20.3,88,18.3,0.0,3,1008.0,99
2026-05-12 06:00:00,20.6,87,18.4,0.0,3,1008.1,97
2026-05-12 07:00:00,21.5,85,18.9,0.0,3,1008.1,99
2026-05-12 08:00:00,22.2,80,18.5,0.0,3,1008.0,98
2026-05-12 09:00:00,23.0,80,19.3,0.0,3,1008.4,100
2026-05-12 10:00:00,23.3,79,19.5,0.0,3,1008.3,100
2026-05-12 11:00:00,22.6,81,19.3,0.7,53,1008.4,100
2026-05-12 12:00:00,22.8,81,19.4,0.1,51,1007.8,100
2026-05-12 13:00:00,23.1,79,19.3,0.1,51,1007.2,100
2026-05-12 14:00:00,23.3,80,19.6,0.1,51,1006.8,100
2026-05-12 15:00:00,23.3,77,19.0,0.1,51,1005.9,74
2026-05-12 16:00:00,23.4,75,18.7,0.0,1,1005.5,26
2026-05-12 17:00:00,23.0,77,18.8,0.0,0,1005.4,17
2026-05-12 18:00:00,22.3,81,18.8,0.0,1,1005.8,41
2026-05-12 19:00:00,21.0,87,18.8,0.0,2,1006.3,73
2026-05-12 20:00:00,20.6,90,18.9,0.0,3,1006.8,96
2026-05-12 21:00:00,20.5,93,19.3,0.0,3,1007.0,95
2026-05-12 22:00:00,19.5,95,18.7,0.1,51,1007.2,95
2026-05-12 23:00:00,19.5,95,18.6,0.0,3,1007.0,99
2026-05-13 00:00:00,19.1,95,18.4,0.1,51,1006.6,100
2026-05-13 01:00:00,19.1,95,18.2,0.0,3,1006.4,98
2026-05-13 02:00:00,19.2,94,18.2,0.0,3,1006.0,91
2026-05-13 03:00:00,18.8,94,17.8,0.1,51,1006.0,99
2026-05-13 04:00:00,18.6,95,17.7,0.0,3,1005.8,83
2026-05-13 05:00:00,18.4,93,17.3,0.0,2,1005.7,79
2026-05-13 06:00:00,18.5,94,17.4,0.0,2,1006.0,72
2026-05-13 07:00:00,20.6,93,19.5,0.0,2,1006.7,70
2026-05-13 08:00:00,22.0,87,19.7,0.0,2,1007.3,56
2026-05-13 09:00:00,23.2,82,20.0,0.0,1,1007.4,31
2026-05-13 10:00:00,24.0,77,19.7,0.6,53,1007.7,95
2026-05-13 11:00:00,24.4,72,19.1,0.6,53,1007.7,51
2026-05-13 12:00:00,25.2,65,18.0,0.4,51,1007.2,33
2026-05-13 13:00:00,26.4,58,17.5,0.1,51,1006.8,98
2026-05-13 14:00:00,26.0,59,17.4,0.0,3,1006.6,89
2026-05-13 15:00:00,26.4,53,16.1,0.0,3,1005.9,95
2026-05-13 16:00:00,25.6,56,16.3,0.0,3,1005.9,100
2026-05-13 17:00:00,24.3,67,17.7,0.0,3,1005.7,99
2026-05-13 18:00:00,23.1,82,19.9,0.0,3,1006.1,95
2026-05-13 19:00:00,21.4,88,19.4,0.0,3,1006.5,96
2026-05-13 20:00:00,20.1,91,18.5,0.0,0,1007.3,3
2026-05-13 21:00:00,20.2,91,18.6,0.0,3,1007.4,98
2026-05-13 22:00:00,19.8,92,18.5,0.0,3,1007.5,98
2026-05-13 23:00:00,19.8,91,18.3,0.0,3,1007.9,100
2026-05-14 00:00:00,19.5,90,17.9,0.0,3,1007.8,100
2026-05-14 01:00:00,19.4,91,17.9,0.0,3,1007.6,98
2026-05-14 02:00:00,19.2,91,17.7,0.0,3,1007.5,100
2026-05-14 03:00:00,19.3,92,18.0,0.0,3,1007.1,98
2026-05-14 04:00:00,18.8,92,17.4,0.0,3,1006.9,99
2026-05-14 05:00:00,18.7,92,17.3,0.0,3,1006.9,98
2026-05-14 06:00:00,19.0,91,17.5,0.0,3,1007.8,99
2026-05-14 07:00:00,21.1,86,18.7,0.0,3,1008.6,99
2026-05-14 08:00:00,21.8,80,18.2,0.0,3,1009.4,98
2026-05-14 09:00:00,23.4,71,17.9,0.2,51,1009.7,100
2026-05-14 10:00:00,24.3,66,17.5,0.1,51,1009.9,100
2026-05-14 11:00:00,24.8,62,17.1,0.0,3,1009.9,100
2026-05-14 12:00:00,24.3,66,17.6,0.0,3,1009.8,99
2026-05-14 13:00:00,24.1,67,17.5,0.1,51,1009.7,100
2026-05-14 14:00:00,23.6,69,17.5,0.3,51,1009.9,100
2026-05-14 15:00:00,23.9,67,17.4,0.1,51,1009.7,100
2026-05-14 16:00:00,23.3,65,16.5,0.0,3,1009.3,100
2026-05-14 17:00:00,23.1,67,16.6,0.0,3,1009.9,100
2026-05-14 18:00:00,22.2,75,17.5,0.0,3,1010.3,100
2026-05-14 19:00:00,21.7,72,16.4,0.0,3,1010.4,100
2026-05-14 20:00:00,21.6,70,15.8,0.0,3,1010.9,100
2026-05-14 21:00:00,21.3,78,17.4,0.0,3,1011.1,100
2026-05-14 22:00:00,20.7,82,17.6,0.1,51,1012.1,100
2026-05-14 23:00:00,20.8,80,17.3,0.1,51,1012.2,100
2026-05-15 00:00:00,20.8,78,16.8,0.0,3,1012.3,98
2026-05-15 01:00:00,20.8,76,16.4,0.0,3,1011.7,90
2026-05-15 02:00:00,20.7,76,16.3,0.0,3,1011.6,95
2026-05-15 03:00:00,20.4,73,15.3,0.0,3,1012.0,93
2026-05-15 04:00:00,20.3,75,15.7,0.0,3,1011.8,92
2026-05-15 05:00:00,20.3,74,15.5,0.0,3,1012.4,100
2026-05-15 06:00:00,20.6,73,15.6,0.0,3,1013.0,100
2026-05-15 07:00:00,20.9,75,16.2,0.1,51,1013.8,96
2026-05-15 08:00:00,22.0,68,15.9,0.0,2,1014.1,71
2026-05-15 09:00:00,21.9,77,17.6,0.0,2,1014.8,66
2026-05-15 10:00:00,22.9,75,18.2,0.3,51,1014.9,37
2026-05-15 11:00:00,24.1,65,17.1,0.0,1,1014.5,23
2026-05-15 12:00:00,24.5,61,16.4,0.0,1,1014.5,21
2026-05-15 13:00:00,24.6,59,16.0,0.0,0,1014.2,8
2026-05-15 14:00:00,24.4,60,16.1,0.0,0,1013.7,6
2026-05-15 15:00:00,24.3,60,16.1,0.0,0,1013.6,12
2026-05-15 16:00:00,23.6,63,16.2,0.0,0,1013.1,7
2026-05-15 17:00:00,23.0,66,16.2,0.0,0,1013.3,15
2026-05-15 18:00:00,22.3,70,16.5,0.0,0,1013.9,10
2026-05-15 19:00:00,21.5,71,16.0,0.0,0,1014.1,8
2026-05-15 20:00:00,21.4,70,15.8,0.0,0,1014.6,15
2026-05-15 21:00:00,21.3,76,16.8,0.0,0,1015.1,12
2026-05-15 22:00:00,21.1,75,16.6,0.0,0,1015.4,18
2026-05-15 23:00:00,21.1,75,16.4,0.0,0,1015.4,14
2026-05-16 00:00:00,21.0,74,16.3,0.0,0,1015.1,8
2026-05-16 01:00:00,20.9,75,16.2,0.0,0,1014.8,16
2026-05-16 02:00:00,20.8,76,16.3,0.0,1,1014.8,33
2026-05-16 03:00:00,20.8,74,16.0,0.1,51,1014.8,9
2026-05-16 04:00:00,20.8,74,15.9,0.0,0,1014.6,8
2026-05-16 05:00:00,20.7,74,15.9,0.0,0,1014.9,13
2026-05-16 06:00:00,20.8,73,15.8,0.0,0,1015.5,16
2026-05-16 07:00:00,21.4,72,16.3,0.1,51,1015.8,22
2026-05-16 08:00:00,22.1,69,16.2,0.1,51,1016.3,20
