time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,weather_code,surface_pressure,cloud_cover
2025-09-17 00:00:00,26.7,89,24.7,0.0,0,1013.1,4
2025-09-17 01:00:00,26.7,88,24.6,0.0,0,1012.9,4
2025-09-17 02:00:00,26.7,88,24.5,0.0,0,1012.4,7
2025-09-17 03:00:00,26.9,84,24.0,0.0,0,1011.9,6
2025-09-17 04:00:00,26.9,83,23.7,0.0,0,1011.6,4
2025-09-17 05:00:00,26.8,83,23.7,0.0,0,1011.5,2
2025-09-17 06:00:00,26.8,83,23.7,0.0,1,1011.7,36
2025-09-17 07:00:00,27.3,84,24.4,0.0,1,1011.8,45
2025-09-17 08:00:00,28.4,79,24.4,0.0,3,1012.1,98
2025-09-17 09:00:00,28.9,76,24.2,0.0,3,1012.5,99
2025-09-17 10:00:00,29.9,71,24.2,0.0,1,1012.8,32
2025-09-17 11:00:00,30.5,68,24.0,0.0,1,1012.7,40
2025-09-17 12:00:00,30.5,68,24.0,0.0,3,1012.5,100
2025-09-17 13:00:00,30.2,69,24.0,0.2,51,1012.3,97
2025-09-17 14:00:00,29.7,72,24.0,0.4,51,1011.7,45
2025-09-17 15:00:00,29.6,71,23.9,0.4,51,1011.3,36
2025-09-17 16:00:00,29.3,73,23.9,0.2,51,1011.0,41
2025-09-17 17:00:00,28.8,76,24.1,0.1,51,1010.8,63
2025-09-17 18:00:00,27.9,84,24.8,0.0,2,1011.1,71
2025-09-17 19:00:00,27.6,82,24.1,0.0,1,1011.5,28
2025-09-17 20:00:00,27.4,82,24.1,0.0,2,1012.5,63
2025-09-17 21:00:00,27.4,82,24.1,0.0,1,1013.0,47
2025-09-17 22:00:00,27.3,83,24.3,0.0,0,1013.0,11
2025-09-17 23:00:00,27.1,85,24.3,0.0,2,1013.1,69
2025-09-18 00:00:00,27.0,85,24.4,0.0,0,1012.8,7
2025-09-18 01:00:00,26.9,86,24.4,0.0,0,1012.2,4
2025-09-18 02:00:00,26.7,87,24.3,0.0,0,1011.9,6
2025-09-18 03:00:00,26.3,87,24.1,0.0,0,1011.5,8
2025-09-18 04:00:00,26.1,87,23.8,0.0,0,1011.3,14
2025-09-18 05:00:00,26.1,86,23.5,0.0,0,1011.5,18
2025-09-18 06:00:00,26.0,86,23.4,0.0,0,1011.9,8
2025-09-18 07:00:00,27.3,83,24.2,0.0,3,1012.3,95
2025-09-18 08:00:00,28.0,84,25.1,0.1,51,1012.8,100
2025-09-18 09:00:00,28.6,79,24.7,0.0,3,1013.1,98
2025-09-18 10:00:00,29.0,80,25.2,0.1,51,1013.5,97
2025-09-18 11:00:00,30.0,73,24.6,0.1,51,1012.8,96
2025-09-18 12:00:00,30.0,71,24.2,0.2,51,1012.4,100
2025-09-18 13:00:00,29.8,73,24.6,0.2,51,1011.9,97
2025-09-18 14:00:00,30.0,74,24.8,0.1,51,1011.6,100
2025-09-18 15:00:00,29.6,74,24.6,0.1,51,1011.9,96
2025-09-18 16:00:00,26.5,89,24.6,3.0,63,1012.1,78
2025-09-18 17:00:00,27.0,87,24.7,0.1,51,1011.3,6
2025-09-18 18:00:00,26.7,89,24.8,0.0,0,1011.3,3
2025-09-18 19:00:00,25.9,93,24.6,0.0,0,1011.5,7
2025-09-18 20:00:00,25.8,92,24.4,0.0,0,1012.2,1
2025-09-18 21:00:00,25.9,91,24.3,0.0,0,1013.0,2
2025-09-18 22:00:00,26.1,90,24.3,0.0,1,1013.0,32
2025-09-18 23:00:00,26.0,89,24.1,0.0,3,1013.0,95
2025-09-19 00:00:00,26.0,89,24.0,0.0,3,1013.0,98
2025-09-19 01:00:00,26.1,87,23.8,0.0,0,1013.0,1
2025-09-19 02:00:00,25.6,88,23.4,0.0,0,1012.9,4
2025-09-19 03:00:00,25.3,87,23.1,0.0,1,1012.4,33
2025-09-19 04:00:00,25.2,89,23.3,0.0,0,1012.1,8
2025-09-19 05:00:00,25.1,89,23.3,0.0,0,1012.1,5
2025-09-19 06:00:00,25.1,90,23.3,0.0,0,1012.2,6
2025-09-19 07:00:00,26.7,87,24.4,0.0,0,1012.5,5
2025-09-19 08:00:00,28.0,86,25.5,0.0,0,1012.8,6
2025-09-19 09:00:00,28.9,76,24.1,0.0,0,1012.9,8
2025-09-19 10:00:00,29.9,69,23.7,0.0,0,1013.2,11
2025-09-19 11:00:00,30.2,67,23.4,0.0,0,1012.9,11
2025-09-19 12:00:00,30.4,66,23.3,0.0,0,1012.6,7
2025-09-19 13:00:00,30.5,65,23.1,0.0,0,1012.1,12
2025-09-19 14:00:00,30.3,65,22.9,0.1,51,1011.5,18
2025-09-19 15:00:00,30.0,66,23.0,0.1,51,1010.8,19
2025-09-19 16:00:00,29.6,69,23.4,0.0,0,1010.5,5
2025-09-19 17:00:00,29.1,72,23.5,0.0,0,1010.6,1
2025-09-19 18:00:00,28.1,78,24.0,0.0,0,1010.7,8
2025-09-19 19:00:00,27.6,79,23.6,0.0,0,1011.0,8
2025-09-19 20:00:00,27.5,79,23.6,0.0,0,1011.5,6
2025-09-19 21:00:00,27.6,78,23.5,0.0,0,1012.0,5
2025-09-19 22:00:00,27.5,78,23.3,0.0,0,1012.3,4
2025-09-19 23:00:00,27.4,78,23.2,0.0,0,1012.0,3
2025-09-20 00:00:00,27.2,79,23.3,0.0,0,1011.7,7
2025-09-20 01:00:00,27.2,79,23.3,0.0,0,1011.5,8
2025-09-20 02:00:00,27.0,79,23.1,0.0,0,1010.9,9
2025-09-20 03:00:00,26.9,80,23.2,0.0,0,1010.4,14
2025-09-20 04:00:00,27.0,79,23.0,0.0,1,1010.0,40
2025-09-20 05:00:00,26.7,81,23.2,0.0,0,1009.8,7
2025-09-20 06:00:00,26.5,83,23.4,0.0,0,1010.0,6
2025-09-20 07:00:00,27.1,83,24.0,0.0,0,1010.0,5
2025-09-20 08:00:00,28.2,79,24.1,0.0,0,1010.2,9
2025-09-20 09:00:00,28.7,77,24.2,0.1,51,1010.5,24
2025-09-20 10:00:00,30.0,72,24.3,0.0,2,1010.9,60
2025-09-20 11:00:00,30.1,71,24.3,0.1,51,1010.8,82
2025-09-20 12:00:00,30.2,71,24.4,0.1,51,1010.6,21
2025-09-20 13:00:00,30.2,71,24.4,0.1,51,1010.3,19
2025-09-20 14:00:00,29.8,72,24.3,0.2,51,1009.9,25
2025-09-20 15:00:00,29.3,72,23.8,0.3,51,1009.4,26
2025-09-20 16:00:00,29.5,71,23.8,0.1,51,1009.2,20
2025-09-20 17:00:00,29.1,77,24.7,0.0,1,1009.1,43
2025-09-20 18:00:00,28.1,82,24.8,0.0,3,1009.3,94
2025-09-20 19:00:00,27.6,82,24.3,0.0,0,1009.5,1
2025-09-20 20:00:00,27.4,83,24.4,0.0,0,1009.9,1
2025-09-20 21:00:00,27.4,83,24.3,0.0,0,1010.8,14
2025-09-20 22:00:00,27.3,84,24.4,0.0,0,1010.6,5
2025-09-20 23:00:00,26.3,89,24.2,0.0,0,1010.5,3
2025-09-21 00:00:00,26.0,89,24.1,0.0,0,1010.0,2
2025-09-21 01:00:00,25.7,91,24.1,0.0,0,1009.7,2
2025-09-21 02:00:00,25.3,92,23.9,0.0,0,1009.3,0
2025-09-21 03:00:00,25.3,92,23.9,0.0,0,1008.9,3
2025-09-21 04:00:00,25.7,91,24.0,0.0,1,1009.0,39
2025-09-21 05:00:00,25.5,91,23.9,0.0,2,1009.3,53
2025-09-21 06:00:00,25.1,93,23.9,0.0,3,1009.6,82
2025-09-21 07:00:00,26.1,91,24.5,0.0,3,1009.9,84
2025-09-21 08:00:00,27.4,85,24.7,0.0,2,1010.1,69
2025-09-21 09:00:00,28.4,82,25.0,0.0,3,1010.2,96
2025-09-21 10:00:00,29.9,74,24.7,0.0,0,1010.6,13
2025-09-21 11:00:00,30.3,72,24.7,0.1,51,1010.5,36
2025-09-21 12:00:00,30.3,72,24.6,0.3,51,1010.0,96
2025-09-21 13:00:00,30.3,72,24.6,0.1,51,1009.3,100
2025-09-21 14:00:00,29.7,74,24.5,0.6,53,1008.7,100
2025-09-21 15:00:00,29.7,73,24.5,0.3,51,1008.3,97
2025-09-21 16:00:00,29.2,76,24.5,0.3,51,1008.3,98
