session_file,visit_index,segment_id,entered_at,exited_at,point_count,mean_speed_mps,mean_match_distance_m,elevation_m,duration_s,learning_row_source,anchor_canonical_id,anchor_individual_count,time,temperature_c,humidity_pct,dew_point_c,precip_mm,weather_code,surface_pressure,cloud_cover,timestamp_x,rain_1h_mm,rain_3h_mm,rain_6h_mm,rain_12h_mm,rain_24h_mm,rain_48h_mm,hours_since_rain,habu_capture,habu_individuals,segment_x_m,segment_y_m,bio_ネズミ_5m,bio_ネズミ_5m_nearest_m,bio_ネズミ_5m_50m_count,bio_ネズミ_5m_100m_count,bio_ネズミ_5m_250m_count,bio_ネズミ_5m_500m_count,bio_ネズミ_10m,bio_ネズミ_10m_nearest_m,bio_ネズミ_10m_50m_count,bio_ネズミ_10m_100m_count,bio_ネズミ_10m_250m_count,bio_ネズミ_10m_500m_count,bio_ネズミ_15m,bio_ネズミ_15m_nearest_m,bio_ネズミ_15m_50m_count,bio_ネズミ_15m_100m_count,bio_ネズミ_15m_250m_count,bio_ネズミ_15m_500m_count,bio_ネズミ_30m,bio_ネズミ_30m_nearest_m,bio_ネズミ_30m_50m_count,bio_ネズミ_30m_100m_count,bio_ネズミ_30m_250m_count,bio_ネズミ_30m_500m_count,bio_オットンガエル_5m,bio_オットンガエル_5m_nearest_m,bio_オットンガエル_5m_50m_count,bio_オットンガエル_5m_100m_count,bio_オットンガエル_5m_250m_count,bio_オットンガエル_5m_500m_count,bio_オットンガエル_10m,bio_オットンガエル_10m_nearest_m,bio_オットンガエル_10m_50m_count,bio_オットンガエル_10m_100m_count,bio_オットンガエル_10m_250m_count,bio_オットンガエル_10m_500m_count,bio_オットンガエル_15m,bio_オットンガエル_15m_nearest_m,bio_オットンガエル_15m_50m_count,bio_オットンガエル_15m_100m_count,bio_オットンガエル_15m_250m_count,bio_オットンガエル_15m_500m_count,bio_オットンガエル_30m,bio_オットンガエル_30m_nearest_m,bio_オットンガエル_30m_50m_count,bio_オットンガエル_30m_100m_count,bio_オットンガエル_30m_250m_count,bio_オットンガエル_30m_500m_count,bio_カエル_5m,bio_カエル_5m_nearest_m,bio_カエル_5m_50m_count,bio_カエル_5m_100m_count,bio_カエル_5m_250m_count,bio_カエル_5m_500m_count,bio_カエル_10m,bio_カエル_10m_nearest_m,bio_カエル_10m_50m_count,bio_カエル_10m_100m_count,bio_カエル_10m_250m_count,bio_カエル_10m_500m_count,bio_カエル_15m,bio_カエル_15m_nearest_m,bio_カエル_15m_50m_count,bio_カエル_15m_100m_count,bio_カエル_15m_250m_count,bio_カエル_15m_500m_count,bio_カエル_30m,bio_カエル_30m_nearest_m,bio_カエル_30m_50m_count,bio_カエル_30m_100m_count,bio_カエル_30m_250m_count,bio_カエル_30m_500m_count,bio_ヤマシギ_5m,bio_ヤマシギ_5m_nearest_m,bio_ヤマシギ_5m_50m_count,bio_ヤマシギ_5m_100m_count,bio_ヤマシギ_5m_250m_count,bio_ヤマシギ_5m_500m_count,bio_ヤマシギ_10m,bio_ヤマシギ_10m_nearest_m,bio_ヤマシギ_10m_50m_count,bio_ヤマシギ_10m_100m_count,bio_ヤマシギ_10m_250m_count,bio_ヤマシギ_10m_500m_count,bio_ヤマシギ_15m,bio_ヤマシギ_15m_nearest_m,bio_ヤマシギ_15m_50m_count,bio_ヤマシギ_15m_100m_count,bio_ヤマシギ_15m_250m_count,bio_ヤマシギ_15m_500m_count,bio_ヤマシギ_30m,bio_ヤマシギ_30m_nearest_m,bio_ヤマシギ_30m_50m_count,bio_ヤマシギ_30m_100m_count,bio_ヤマシギ_30m_250m_count,bio_ヤマシギ_30m_500m_count,bio_クロウサギ_5m,bio_クロウサギ_5m_nearest_m,bio_クロウサギ_5m_50m_count,bio_クロウサギ_5m_100m_count,bio_クロウサギ_5m_250m_count,bio_クロウサギ_5m_500m_count,bio_クロウサギ_10m,bio_クロウサギ_10m_nearest_m,bio_クロウサギ_10m_50m_count,bio_クロウサギ_10m_100m_count,bio_クロウサギ_10m_250m_count,bio_クロウサギ_10m_500m_count,bio_クロウサギ_15m,bio_クロウサギ_15m_nearest_m,bio_クロウサギ_15m_50m_count,bio_クロウサギ_15m_100m_count,bio_クロウサギ_15m_250m_count,bio_クロウサギ_15m_500m_count,bio_クロウサギ_30m,bio_クロウサギ_30m_nearest_m,bio_クロウサギ_30m_50m_count,bio_クロウサギ_30m_100m_count,bio_クロウサギ_30m_250m_count,bio_クロウサギ_30m_500m_count,highway,length_m,bearing_deg,curvature_deg,road_class_code,junction_distance_m,stream_distance_m,coast_distance_m,forest_distance_m,farmland_distance_m,residential_distance_m,hour,sin_hour,cos_hour,segment_prior_visits,moon_age_days,moon_phase_sin,moon_phase_cos,moon_illumination,fog_wmo_flag,temp_dewpoint_spread_c,fog_proxy_flag,temperature_change_3visits_c,timestamp_y,tide_height_cm,tide_change_1h_cm,tide_state_code,minutes_to_nearest_turning_tide,tide_source_available,tide_source
capture_anchor:65,-1,OSM_ro48_0_55,2026-05-13 20:20:00+09:00,2026-05-13 20:20:00+09:00,0,,9.04753067377179,,0.0,capture_gps_anchor,65,1,2026-05-13T20:00,20.1,91.0,18.5,0.0,0.0,1007.3,3.0,2026-05-13 20:00:00+09:00,0.0,0.0,0.0,1.7000000000000037,2.0,3.099999999999998,7.0,1,1,-11011.727580645524,-532663.0165803074,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,unclassified,9.999999999978522,195.93433852920293,0.0,10.0,917.6829801810934,90.47469880526181,1540.9061879288508,3254.787160920354,6739.161817857239,7353.220683834057,20.333333333333332,-0.8191520442889918,0.573576436351046,0,26.27118224999957,-0.6392324120438582,0.7690136041661364,0.1154931979169318,0,1.6000000000000014,0,,2026-05-13 20:00:00+09:00,93.0,-26.0,-1.0,0.18,1,jma_O9_predicted
capture_anchor:66,-1,OSM_ro104_0_16,2026-05-13 20:56:00+09:00,2026-05-13 20:56:00+09:00,0,,7.492282718272256,,0.0,capture_gps_anchor,66,1,2026-05-13T21:00,20.2,91.0,18.6,0.0,3.0,1007.4,98.0,2026-05-13 21:00:00+09:00,0.0,0.0,0.0,1.7000000000000037,2.0,3.099999999999998,8.0,1,1,-10411.358064388616,-534275.3575027137,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,unclassified,9.999999999912404,180.40756160293617,16.858976874066485,10.0,153.8764033076037,798.9677468405722,1084.7620086553654,1952.317345183958,5597.3642117275685,6062.511706339612,20.933333333333334,-0.7193398003386512,0.6946583704589973,0,26.296182249999205,-0.6351328372630678,0.7724029253117607,0.11379853734411965,0,1.5999999999999979,0,,2026-05-13 21:00:00+09:00,74.0,-19.0,-1.0,0.12,1,jma_O9_predicted
capture_anchor:67,-1,OSM_ro103_0_3,2026-05-15 21:03:00+09:00,2026-05-15 21:03:00+09:00,0,,13.436977331070342,,0.0,capture_gps_anchor,67,1,2026-05-15T21:00,21.3,76.0,16.8,0.0,0.0,1015.1,12.0,2026-05-15 21:00:00+09:00,0.0,0.0,0.0,0.30000000000000354,0.6000000000000001,1.3999999999999981,11.0,1,1,-15946.994654263646,-535808.0955849965,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,unclassified,10.000000000007985,102.28448996547331,0.0,10.0,109.84493382176288,363.26589201016895,24.87110493783852,3834.334390899265,2563.9981079032464,4786.458693151199,21.05,-0.6977904598416802,0.7163019434246541,0,28.30104336111161,-0.2586349190543055,0.9659751439068051,0.017012428046597472,0,4.5,0,,2026-05-15 21:00:00+09:00,124.0,-33.0,-1.0,0.12,1,jma_O9_predicted
capture_anchor:68,-1,OSM_ro393_0_107,2026-05-15 22:05:00+09:00,2026-05-15 22:05:00+09:00,0,,2.4431871377128043,,0.0,capture_gps_anchor,68,1,2026-05-15T22:00,21.1,75.0,16.6,0.0,0.0,1015.4,18.0,2026-05-15 22:00:00+09:00,0.0,0.0,0.0,0.0,0.49999999999999994,1.3999999999999981,12.0,1,1,-13665.594645178327,-533869.9870607397,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,track,10.0000000000224,207.9882012479516,0.0,8.0,840.5059555271584,1043.607437984732,1406.8025955605676,2524.5947263222342,4674.136761206075,5875.597485514028,22.083333333333332,-0.48098876891938774,0.8767267557075077,0,28.34409891666745,-0.24977501273950548,0.9683039001320711,0.015848049933964437,0,4.5,0,,2026-05-15 22:00:00+09:00,95.0,-29.0,-1.0,0.18,1,jma_O9_predicted
capture_anchor:69,-1,OSM_ro278_0_22,2026-05-18 20:52:00+09:00,2026-05-18 20:52:00+09:00,0,,1.2393637488699785,,0.0,capture_gps_anchor,69,1,2026-05-18T21:00,22.7,79.0,18.9,0.0,3.0,1012.4,100.0,2026-05-18 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0,0.39999999999999825,34.0,1,1,-11683.487233588006,-535533.6176150446,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,track,10.00000000002227,294.130308010256,0.0,8.0,59.81591464258256,209.26509861809473,346.336585732361,310.05286060848755,3856.294786650498,4412.481508436202,20.866666666666667,-0.7313537016191703,0.6819983600624986,0,1.7628158022214677,0.36633956861367895,0.9304812305833705,0.034759384708314744,0,3.8000000000000007,0,,2026-05-18 21:00:00+09:00,198.0,-3.0,-1.0,0.0,1,jma_O9_predicted
capture_anchor:70,-1,OSM_ro289_0_88,2026-05-18 21:51:00+09:00,2026-05-18 21:51:00+09:00,0,,2.3263114356720944,,0.0,capture_gps_anchor,70,1,2026-05-18T22:00,22.7,80.0,19.1,0.0,3.0,1012.5,100.0,2026-05-18 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0,0.29999999999999827,35.0,1,1,-10115.79131326947,-534941.4668315894,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,unclassified,10.000000000010857,109.59520539315093,0.0,10.0,748.7660192114826,1143.194908944759,846.6101933833271,1658.0409313123723,5250.234778774051,5622.081256447615,21.85,-0.5336145159156106,0.8457278217039738,0,1.803788024444458,0.3744371152978438,0.9272523101548086,0.03637384492259571,0,3.599999999999998,0,,2026-05-18 22:00:00+09:00,178.0,-20.0,-1.0,0.06,1,jma_O9_predicted
capture_anchor:72,-1,OSM_ro877_0_3,2026-05-19 22:47:00+09:00,2026-05-19 22:47:00+09:00,0,,1.6590703578204735,,0.0,capture_gps_anchor,72,1,2026-05-19T23:00,22.3,98.0,22.1,0.3,51.0,1008.0,100.0,2026-05-19 23:00:00+09:00,0.3,1.6000000000000003,1.7999999999999983,4.800000000000003,6.2,6.199999999999998,0.0,1,1,-19822.854277539845,-535531.4855941173,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,service,10.000000000009447,86.7825205160517,17.483059439996396,6.0,220.00989843878176,1241.0314784053116,63.890332959093804,2631.6099161953025,5303.073708205068,7831.352326095847,22.783333333333335,-0.31316380648374953,0.949699126201877,0,2.842676913332781,0.5686244675164962,0.8225972373777954,0.08870138131110228,0,0.1999999999999993,1,,2026-05-19 23:00:00+09:00,170.0,-19.0,-1.0,0.06,1,jma_O9_predicted
capture_anchor:73,-1,OSM_ro104_0_16,2026-05-21 21:57:00+09:00,2026-05-21 21:57:00+09:00,0,,1.9239905864747116,,0.0,capture_gps_anchor,73,1,2026-05-21T22:00,24.0,93.0,22.9,0.3,51.0,1009.6,99.0,2026-05-21 22:00:00+09:00,0.3,0.9000000000000001,0.8999999999999981,0.9000000000000037,1.0,5.199999999999998,0.0,1,1,-10411.358064388616,-534275.3575027137,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,unclassified,9.999999999912404,180.40756160293617,16.858976874066485,10.0,153.8764033076037,798.9677468405722,1084.7620086553654,1952.317345183958,5597.3642117275685,6062.511706339612,21.95,-0.5112930860770526,0.8594064115014524,0,4.8079546911101545,0.8536650778540413,0.520822364009509,0.2395888179952455,0,1.1000000000000014,0,,2026-05-21 22:00:00+09:00,168.0,21.0,1.0,0.12,1,jma_O9_predicted
capture_anchor:74,-1,OSM_ro146_0_336,2026-05-21 22:56:00+09:00,2026-05-21 22:56:00+09:00,0,,0.8934478848870354,,0.0,capture_gps_anchor,74,1,2026-05-21T23:00,23.6,98.0,23.2,1.5,61.0,1009.4,100.0,2026-05-21 23:00:00+09:00,1.5,2.4000000000000004,2.399999999999998,2.400000000000004,2.5,6.399999999999999,0.0,1,1,-11915.763458179063,-535254.3739801534,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,unclassified,9.99999999994885,236.34223008801544,0.0,10.0,309.7127505102686,6.232306460198161,641.7246824002555,546.1898797511587,4001.10952407693,4614.355859776957,22.933333333333334,-0.2756373558169998,0.9612616959383187,0,4.848926913333145,0.8581729073534899,0.513360751406317,0.2433196242968415,0,0.40000000000000213,1,,2026-05-21 23:00:00+09:00,176.0,8.0,1.0,0.06,1,jma_O9_predicted
capture_anchor:75,-1,OSM_ro877_0_11,2026-05-23 23:22:00+09:00,2026-05-23 23:22:00+09:00,0,,4.02102908517952,,0.0,capture_gps_anchor,75,1,2026-05-23T23:00,23.3,96.0,22.6,0.0,3.0,1008.8,100.0,2026-05-23 23:00:00+09:00,0.0,0.0,2.9999999999999982,9.000000000000005,14.2,42.099999999999994,3.0,1,1,-19751.599953147364,-535554.5118484201,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,service,10.000000000002624,127.89933038061531,0.0,6.0,197.69786041564566,1273.4068622694565,138.35526046571295,2685.4582414293045,5231.612097275262,7758.965730543213,23.366666666666667,-0.16504760586067735,0.9862856015372314,0,6.866982468889347,0.9939870910752175,0.1094973185782515,0.44525134071087424,0,0.6999999999999993,1,,2026-05-23 23:00:00+09:00,146.0,24.0,1.0,0.18,1,jma_O9_predicted
