night,bucket,exposure_km,captures,captures_per_10km
2026-09-04,no_prior_marker,11.092328,3,2.704572
2026-09-04,0-10m,23.484487,1,0.425813
2026-09-04,10-20m,15.962691,0,0.000000
2026-09-04,20-30m,9.415204,0,0.000000
2026-09-04,>30m,23.807244,1,0.420040
2026-09-05,no_prior_marker,1.529166,0,0.000000
2026-09-05,0-10m,10.997911,2,1.818527
2026-09-05,10-20m,8.837746,2,2.263021
2026-09-05,20-30m,8.661568,0,0.000000
2026-09-05,>30m,31.615053,0,0.000000
COMBINED,<=20m,59.282835,5,0.843414
COMBINED,other,86.120563,4,0.464465
