bin10,points,distance_m,unique_segments,mean_match_distance_m,captures,bio_prev_10m,frog_prev_10m,bio_prev_20m,frog_prev_20m,bio_prev_30m,frog_prev_30m,bio_prev_60m,frog_prev_60m,positive,mins_since_rain_marker_end,rain20_candidate
2026-09-05 22:30:00+09:00,205,894.2178850951344,52,5.030615840792355,0,0,0,0,0,0,0,0,0,0,,
2026-09-05 22:40:00+09:00,600,1525.504168256457,93,5.52998421841093,0,1,1,1,1,1,1,1,1,0,9.0,1
2026-09-05 22:50:00+09:00,600,2048.4339707716445,113,8.053083415133069,0,1,1,1,1,2,2,2,2,0,19.0,1
2026-09-05 23:00:00+09:00,600,2498.361873924253,136,6.076148571766512,0,2,2,3,3,3,3,3,3,0,29.0,0
2026-09-05 23:10:00+09:00,600,2349.620134489908,127,7.071809538030304,0,0,0,2,2,3,3,3,3,0,39.0,0
2026-09-05 23:20:00+09:00,600,2433.6177747543908,128,5.248402739314522,0,2,1,2,1,4,3,5,4,0,49.0,0
2026-09-05 23:30:00+09:00,600,2252.991119826048,120,5.660954149760369,0,8,7,10,8,10,8,13,11,0,59.0,0
2026-09-05 23:40:00+09:00,600,1836.747966842972,98,5.84031762741354,0,1,1,9,8,11,9,14,12,0,3.0,1
2026-09-05 23:50:00+09:00,600,755.6835246651152,36,5.661113573987257,2,3,2,4,3,12,10,15,13,1,13.0,1
2026-09-06 00:00:00+09:00,600,1247.4364879121245,68,5.387827479728017,0,1,1,4,3,5,4,16,14,0,23.0,0
2026-09-06 00:10:00+09:00,600,1596.1401444698805,89,5.41915988382084,0,4,4,5,5,8,7,20,17,0,33.0,0
2026-09-06 00:20:00+09:00,600,1839.6828816508504,96,5.671637695453312,0,2,2,6,6,7,7,24,21,0,5.583333333333333,1
2026-09-06 00:30:00+09:00,600,1490.231405418485,79,5.994005889701493,0,9,9,11,11,15,15,28,25,0,15.583333333333334,1
2026-09-06 00:40:00+09:00,600,1129.7593771190415,64,5.688870048103283,0,5,5,14,14,16,16,31,28,0,25.583333333333332,0
2026-09-06 00:50:00+09:00,600,1159.2402225655927,65,5.722147411338161,0,15,15,20,20,29,29,36,34,0,35.583333333333336,0
2026-09-06 01:00:00+09:00,600,1365.100028704784,76,6.2125821995342145,0,13,13,28,28,33,33,41,39,0,6.616666666666666,1
2026-09-06 01:10:00+09:00,600,1640.014760706254,90,6.423160405208852,0,3,2,16,15,31,30,51,49,0,16.616666666666667,1
2026-09-06 01:20:00+09:00,600,1529.870013969204,81,5.773229485574381,0,5,2,8,4,21,17,49,46,0,4.2,1
2026-09-06 01:30:00+09:00,600,1248.5783770440412,69,5.2873751787429695,1,3,3,8,5,7,5,40,34,1,14.2,1
2026-09-06 01:40:00+09:00,600,1099.3215255451384,61,5.626588205280947,0,6,6,9,9,14,11,45,41,0,9.0,1
2026-09-06 01:50:00+09:00,600,1100.5817935748192,58,5.485894670721057,1,4,1,10,7,10,7,34,23,1,19.0,1
2026-09-06 02:00:00+09:00,600,1382.665065454285,75,5.463224535001495,0,7,6,11,7,17,13,31,25,0,29.0,0
2026-09-06 02:10:00+09:00,600,1390.1504418680214,78,6.105439748791101,0,4,3,11,9,15,10,29,23,0,5.966666666666667,1
2026-09-06 02:20:00+09:00,600,1569.1674825342606,87,5.60342291276857,0,2,2,6,5,13,11,30,24,0,15.966666666666667,1
2026-09-06 02:30:00+09:00,600,2053.630677137464,112,5.854692715314585,0,3,3,5,5,9,8,24,19,0,25.96666666666667,0
2026-09-06 02:40:00+09:00,600,2268.3272466101223,120,6.038624813993502,0,0,0,3,3,5,5,18,14,0,35.96666666666667,0
2026-09-06 02:50:00+09:00,600,2562.9762702585225,132,5.79341048409319,0,0,0,0,0,3,3,13,10,0,45.96666666666667,0
2026-09-06 03:00:00+09:00,600,2472.377980455018,131,5.804155236972351,0,0,0,0,0,0,0,9,8,0,55.96666666666667,0
2026-09-06 03:10:00+09:00,600,2506.952707739383,132,5.749674240759219,0,0,0,0,0,0,0,5,5,0,65.96666666666667,0
2026-09-06 03:20:00+09:00,600,2482.194798760317,132,5.550254076185991,0,0,0,0,0,0,0,3,3,0,75.96666666666667,0
2026-09-06 03:30:00+09:00,600,2366.9572397661665,127,5.525788519894798,0,0,0,0,0,0,0,0,0,0,85.96666666666667,0
2026-09-06 03:40:00+09:00,74,302.3369627059891,20,4.44779386912092,0,0,0,0,0,0,0,0,0,0,95.96666666666667,0
