radius_m,bandwidth_h,local_weight,min_local,tau_days,eligible,nights_scored,median_absolute_error_minutes,mean_absolute_error_minutes,within_30m_hits,within_30m_rate,within_30m_wilson95,within_60m_hits,within_60m_rate,within_60m_wilson95,within_90m_hits,within_90m_rate,within_90m_wilson95,selection_score
3000,2.0,0.99,1,90.0,98,29,70.5,104.55102040816327,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",42,0.42857142857142855,"[0.3351141839487037, 0.5274174337792189]",59,0.6020408163265306,"[0.50304770600903, 0.6933356972367949]",1.9612457482993195
3000,2.0,0.99,2,90.0,98,29,70.5,105.16326530612245,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",42,0.42857142857142855,"[0.3351141839487037, 0.5274174337792189]",58,0.5918367346938775,"[0.49285190219841635, 0.683893160722826]",1.9510416666666666
3000,2.0,0.8,1,90.0,98,29,87.0,104.20408163265306,23,0.23469387755102042,"[0.1617836559088351, 0.3276194956520202]",38,0.3877551020408163,"[0.297263154133494, 0.4867151022960987]",52,0.5306122448979592,"[0.43252291695680106, 0.6263921040169464]",1.9497874149659864
3000,2.0,0.8,2,90.0,98,29,87.0,104.51020408163265,23,0.23469387755102042,"[0.1617836559088351, 0.3276194956520202]",38,0.3877551020408163,"[0.297263154133494, 0.4867151022960987]",52,0.5306122448979592,"[0.43252291695680106, 0.6263921040169464]",1.9497874149659864
3000,2.0,0.8,3,90.0,98,29,87.0,104.51020408163265,23,0.23469387755102042,"[0.1617836559088351, 0.3276194956520202]",38,0.3877551020408163,"[0.297263154133494, 0.4867151022960987]",52,0.5306122448979592,"[0.43252291695680106, 0.6263921040169464]",1.9497874149659864
3000,2.0,0.99,3,90.0,98,29,72.5,104.85714285714286,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",41,0.41836734693877553,"[0.3255902758170348, 0.5173030015863054]",57,0.5816326530612245,"[0.4826969984136946, 0.6744097241829652]",1.9190405328798188
3000,2.0,0.95,1,90.0,98,29,74.0,105.61224489795919,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",39,0.3979591836734694,"[0.3066643027632052, 0.49695229399096996]",57,0.5816326530612245,"[0.4826969984136946, 0.6744097241829652]",1.9077947845804988
3000,2.0,0.95,2,90.0,98,29,74.0,106.22448979591837,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",39,0.3979591836734694,"[0.3066643027632052, 0.49695229399096996]",56,0.5714285714285714,"[0.4725825662207811, 0.6648858160512964]",1.8975907029478456
3000,2.0,0.95,3,90.0,98,29,74.0,105.91836734693878,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",39,0.3979591836734694,"[0.3066643027632052, 0.49695229399096996]",55,0.5612244897959183,"[0.46250823376575, 0.6553218081817449]",1.8873866213151924
3000,1.5,0.99,1,90.0,98,29,78.0,109.48979591836735,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",41,0.41836734693877553,"[0.3255902758170348, 0.5173030015863054]",56,0.5714285714285714,"[0.4725825662207811, 0.6648858160512964]",1.8437925170068026
3000,1.5,0.99,2,90.0,98,29,78.0,110.10204081632654,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",41,0.41836734693877553,"[0.3255902758170348, 0.5173030015863054]",55,0.5612244897959183,"[0.46250823376575, 0.6553218081817449]",1.8335884353741494
3000,2.0,0.95,1,180.0,98,29,80.0,108.9795918367347,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",38,0.3877551020408163,"[0.297263154133494, 0.4867151022960987]",55,0.5612244897959183,"[0.46250823376575, 0.6553218081817449]",1.8321995464852605
3000,1.5,0.95,1,90.0,98,29,80.0,109.79591836734694,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",58,0.5918367346938775,"[0.49285190219841635, 0.683893160722826]",1.8219954648526078
3000,2.0,0.95,2,180.0,98,29,80.0,109.59183673469387,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",38,0.3877551020408163,"[0.297263154133494, 0.4867151022960987]",54,0.5510204081632653,"[0.45247368335883686, 0.6457180182640755]",1.8219954648526075
