group,removed_feature_count,removed_features,remaining_feature_count,nights_scored,top30_hits_without,top1_hits_without,top5_hits_without,top10_hits_without,median_rank_percentile_without,contribution_top30,contribution_top1,contribution_top5,contribution_top10,contribution_median_rank_percentile
terrain_context,5,stream_distance_m|coast_distance_m|forest_distance_m|farmland_distance_m|residential_distance_m,53,31,8,2,7,16,0.5765171503957784,2.0,0.0,1.0,-1.0,0.09208808465183382
large_capture_history,4,hist_large_capture_count_100m|hist_large_capture_count_250m|hist_large_capture_count_500m|hist_large_capture_count_50m,54,31,9,3,8,13,0.49019607843137253,1.0,-1.0,0.0,2.0,0.005767012687427908
bio_alltime,4,hist_bio_count_100m|hist_bio_count_250m|hist_bio_count_500m|hist_bio_count_50m,54,31,10,2,8,15,0.4844290657439446,0.0,0.0,0.0,0.0,0.0
bio_30d_total,4,hist_bio_30d_count_100m|hist_bio_30d_count_250m|hist_bio_30d_count_500m|hist_bio_30d_count_50m,54,31,10,2,8,15,0.4844290657439446,0.0,0.0,0.0,0.0,0.0
bio_species_30d,20,hist_bio_オットンガエル_30d_count_100m|hist_bio_オットンガエル_30d_count_250m|hist_bio_オットンガエル_30d_count_500m|hist_bio_オットンガエル_30d_count_50m|hist_bio_カエル_30d_count_100m|hist_bio_カエル_30d_count_250m|hist_bio_カエル_30d_count_500m|hist_bio_カエル_30d_count_50m|hist_bio_クロウサギ_30d_count_100m|hist_bio_クロウサギ_30d_count_250m|hist_bio_クロウサギ_30d_count_500m|hist_bio_クロウサギ_30d_count_50m|hist_bio_ネズミ_30d_count_100m|hist_bio_ネズミ_30d_count_250m|hist_bio_ネズミ_30d_count_500m|hist_bio_ネズミ_30d_count_50m|hist_bio_ヤマシギ_30d_count_100m|hist_bio_ヤマシギ_30d_count_250m|hist_bio_ヤマシギ_30d_count_500m|hist_bio_ヤマシギ_30d_count_50m,38,31,10,2,8,15,0.4844290657439446,0.0,0.0,0.0,0.0,0.0
capture_30d,4,hist_capture_30d_count_100m|hist_capture_30d_count_250m|hist_capture_30d_count_500m|hist_capture_30d_count_50m,54,31,10,4,10,17,0.4871794871794872,0.0,-2.0,-2.0,-2.0,0.002750421435542605
capture_alltime,4,hist_capture_count_100m|hist_capture_count_250m|hist_capture_count_500m|hist_capture_count_50m,54,31,10,2,8,17,0.4855824682814302,0.0,0.0,0.0,-2.0,0.0011534025374855816
capture_90d,4,hist_capture_90d_count_100m|hist_capture_90d_count_250m|hist_capture_90d_count_500m|hist_capture_90d_count_50m,54,31,10,2,8,17,0.4855824682814302,0.0,0.0,0.0,-2.0,0.0011534025374855816
road_geometry,5,length_m|bearing_deg|curvature_deg|road_class_code|junction_distance_m,53,31,12,3,9,19,0.5,-2.0,-1.0,-1.0,-4.0,0.01557093425605538
capture_recency,4,days_since_capture_100m|days_since_capture_250m|days_since_capture_500m|days_since_capture_50m,54,31,14,2,10,18,0.47940865892291445,-4.0,0.0,-2.0,-3.0,-0.0050204068210301656
