night,train_rows,train_positive_segments,train_negative_segments,candidate_segments,actual_positive_segments,status,location_hits_top_k,location_hit_rate_top_k,location_hits_top_10pct,location_hit_rate_top_10pct,actual_capture_median_rank,actual_capture_median_rank_percentile,random_expected_top_k_rate,random_expected_top_10pct_rate
2026-05-13,0,0,0,454,2,insufficient-training-history,,,,,,,,
2026-05-15,454,2,452,81,1,insufficient-training-history,,,,,,,,
2026-05-18,535,3,532,424,2,ok,0.0,0.0,0.0,0.0,245.5,0.5790094339622642,0.07075471698113207,0.1
2026-05-19,959,5,954,74,1,ok,0.0,0.0,0.0,0.0,69.0,0.9324324324324325,0.40540540540540543,0.1
2026-05-21,1033,6,1027,567,2,ok,0.0,0.0,0.0,0.0,180.5,0.318342151675485,0.05291005291005291,0.1
2026-05-24,1600,8,1592,76,1,ok,0.0,0.0,0.0,0.0,37.0,0.4868421052631579,0.39473684210526316,0.1
2026-06-04,1676,9,1667,947,3,ok,0.0,0.0,1.0,0.3333333333333333,415.0,0.4382259767687434,0.03167898627243928,0.1
2026-06-06,2623,12,2611,867,4,ok,0.0,0.0,0.0,0.0,443.5,0.5115340253748558,0.03460207612456748,0.1
2026-06-10,3490,16,3474,1010,5,ok,0.0,0.0,0.0,0.0,332.0,0.3287128712871287,0.0297029702970297,0.1
2026-06-12,4500,21,4479,1441,2,ok,0.0,0.0,0.0,0.0,616.0,0.42748091603053434,0.020818875780707843,0.1
2026-06-16,5941,23,5918,81,1,ok,0.0,0.0,0.0,0.0,40.0,0.49382716049382713,0.37037037037037035,0.1
2026-06-17,6022,24,5998,416,2,ok,0.0,0.0,0.0,0.0,351.5,0.8449519230769231,0.07211538461538461,0.1
2026-06-18,6438,26,6412,1051,4,ok,0.0,0.0,1.0,0.25,161.0,0.1531874405328259,0.028544243577545196,0.1
2026-06-20,7489,30,7459,2282,4,ok,0.0,0.0,0.0,0.0,1234.0,0.5407537248028045,0.013146362839614373,0.1
2026-06-22,9771,34,9737,2570,4,ok,0.0,0.0,0.0,0.0,488.0,0.18988326848249026,0.011673151750972763,0.1
2026-06-23,12341,38,12303,2092,5,ok,0.0,0.0,1.0,0.2,740.0,0.35372848948374763,0.014340344168260038,0.1
2026-06-24,14433,43,14390,1721,3,ok,0.0,0.0,0.0,0.0,639.0,0.3712957582800697,0.017431725740848343,0.1
2026-06-28,16154,46,16108,2907,6,ok,0.0,0.0,1.0,0.16666666666666666,722.5,0.24853801169590645,0.010319917440660475,0.1
2026-06-30,19061,52,19009,2178,4,ok,0.0,0.0,1.0,0.25,812.0,0.3728191000918274,0.013774104683195593,0.1
2026-07-01,21239,56,21183,1822,3,ok,0.0,0.0,2.0,0.6666666666666666,158.0,0.0867178924259056,0.01646542261251372,0.1
2026-07-08,23061,59,23002,156,2,ok,0.0,0.0,0.0,0.0,83.0,0.532051282051282,0.19230769230769232,0.1
2026-07-09,23217,61,23156,103,2,ok,0.0,0.0,0.0,0.0,80.0,0.7766990291262136,0.2912621359223301,0.1
2026-07-10,23320,63,23257,75,1,ok,1.0,1.0,0.0,0.0,18.0,0.24,0.4,0.1
2026-07-16,23395,64,23331,2043,3,ok,0.0,0.0,0.0,0.0,841.0,0.41164953499755264,0.014684287812041116,0.1
2026-07-17,25438,67,25371,1027,3,ok,0.0,0.0,1.0,0.3333333333333333,337.0,0.3281402142161636,0.029211295034079845,0.1
2026-07-20,26465,70,26395,388,2,ok,0.0,0.0,1.0,0.5,203.0,0.5231958762886598,0.07731958762886598,0.1
2026-07-22,26853,72,26781,76,1,ok,0.0,0.0,0.0,0.0,49.0,0.6447368421052632,0.39473684210526316,0.1
2026-07-24,26929,73,26856,379,4,ok,0.0,0.0,0.0,0.0,254.5,0.6715039577836411,0.079155672823219,0.1
2026-07-25,27308,77,27231,1695,5,ok,0.0,0.0,1.0,0.2,327.0,0.1929203539823009,0.017699115044247787,0.1
2026-07-26,29003,82,28921,212,2,ok,0.0,0.0,0.0,0.0,118.5,0.5589622641509434,0.14150943396226415,0.1
2026-07-30,29215,84,29131,844,3,ok,0.0,0.0,0.0,0.0,276.0,0.32701421800947866,0.035545023696682464,0.1
