night,train_rows,train_positive_segments,train_negative_segments,candidate_segments,actual_positive_segments,status,location_hits_top_k,location_hit_rate_top_k,location_hits_top_1pct,location_hits_top_5pct,location_hits_top_10pct,location_hit_rate_top_10pct,actual_capture_median_rank,actual_capture_median_rank_percentile,random_expected_top_k_rate,random_expected_top_10pct_rate
2026-05-13,0,0,0,454,2,insufficient-training-history,,,,,,,,,,
2026-05-15,454,2,452,81,1,insufficient-training-history,,,,,,,,,,
2026-05-18,535,3,532,424,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.6485849056603773,0.07075471698113207,0.1
2026-05-19,959,5,954,74,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.8783783783783784,0.40540540540540543,0.1
2026-05-21,1033,6,1027,567,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,335.5,0.591710758377425,0.05291005291005291,0.1
2026-05-23,1600,8,1592,867,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,829.0,0.9561707035755479,0.03460207612456748,0.1
2026-05-24,2467,11,2456,76,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.5,0.39473684210526316,0.1
2026-06-04,2543,12,2531,947,3,ok,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,547.0,0.5776135163674763,0.03167898627243928,0.1
2026-06-06,3490,15,3475,867,4,ok,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.19607843137254902,0.03460207612456748,0.1
2026-06-10,4357,19,4338,1010,5,ok,0.0,0.0,0.0,0.0,1.0,0.2,191.0,0.1891089108910891,0.0297029702970297,0.1
2026-06-12,5367,24,5343,1441,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,1011.5,0.701943095072866,0.020818875780707843,0.1
2026-06-13,6808,26,6782,800,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.675,0.0375,0.1
2026-06-16,7608,29,7579,81,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.6419753086419753,0.37037037037037035,0.1
2026-06-17,7689,30,7659,416,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,229.5,0.5516826923076923,0.07211538461538461,0.1
2026-06-18,8105,32,8073,1051,4,ok,1.0,0.25,0.0,1.0,1.0,0.25,292.5,0.2783063748810657,0.028544243577545196,0.1
2026-06-20,9156,36,9120,2282,4,ok,0.0,0.0,0.0,0.0,1.0,0.25,1563.5,0.6851446099912357,0.013146362839614373,0.1
2026-06-22,11438,40,11398,2570,4,ok,0.0,0.0,0.0,0.0,0.0,0.0,1948.5,0.7581712062256809,0.011673151750972763,0.1
2026-06-23,14008,44,13964,2092,5,ok,0.0,0.0,0.0,0.0,1.0,0.2,506.0,0.2418738049713193,0.014340344168260038,0.1
2026-06-24,16100,49,16051,1721,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.33294596165020335,0.017431725740848343,0.1
2026-06-28,17821,52,17769,2907,6,ok,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1724.0,0.5930512555899552,0.010319917440660475,0.1
2026-06-30,20728,58,20670,2178,4,ok,1.0,0.25,0.0,1.0,2.0,0.5,628.0,0.28833792470156105,0.013774104683195593,0.1
2026-07-01,22906,62,22844,1822,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,1460.0,0.8013172338090011,0.01646542261251372,0.1
2026-07-08,24728,65,24663,156,2,ok,1.0,0.5,0.0,0.0,1.0,0.5,72.0,0.46153846153846156,0.19230769230769232,0.1
2026-07-09,24884,67,24817,103,2,ok,1.0,0.5,0.0,1.0,1.0,0.5,30.0,0.2912621359223301,0.2912621359223301,0.1
2026-07-10,24987,69,24918,75,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.6666666666666666,0.4,0.1
2026-07-16,25062,70,24992,2043,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,1807.0,0.8844836025452766,0.014684287812041116,0.1
2026-07-17,27105,73,27032,1027,3,ok,0.0,0.0,0.0,2.0,2.0,0.6666666666666666,41.0,0.03992210321324245,0.029211295034079845,0.1
2026-07-20,28132,76,28056,388,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.8814432989690721,0.07731958762886598,0.1
2026-07-22,28520,78,28442,76,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.5131578947368421,0.39473684210526316,0.1
2026-07-24,28596,79,28517,379,4,ok,0.0,0.0,0.0,0.0,1.0,0.25,218.5,0.5765171503957784,0.079155672823219,0.1
2026-07-25,28975,83,28892,1695,5,ok,0.0,0.0,0.0,0.0,1.0,0.2,250.0,0.14749262536873156,0.017699115044247787,0.1
2026-07-26,30670,88,30582,212,2,ok,2.0,1.0,0.0,0.0,2.0,1.0,16.5,0.07783018867924528,0.14150943396226415,0.1
2026-07-30,30882,90,30792,844,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,471.0,0.5580568720379147,0.035545023696682464,0.1
