night,capture_count,positive,multi2,multi3,multi5,sin_month,cos_month,sin_doy,cos_doy,prior_mean_count,prior30_mean_count,prior14_mean_count,prior30_active_nights,prior14_active_nights,temp_mean,temp_min,humidity_mean,dewpoint_mean,precip_sum,pressure_mean,cloud_mean,weather_max
2025-09-17,1,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.97139528468375,-0.23746831555846842,0.0,0.0,0.0,0,0,26.90769230769231,26.0,84.76923076923077,24.12307692307692,0.0,1012.0999999999999,27.23076923076923,2
2025-09-18,1,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.9753363880767837,-0.2207236509605022,1.0,1.0,1.0,1,1,25.753846153846155,25.1,89.46153846153847,23.900000000000002,0.0,1012.4384615384616,22.692307692307693,3
2025-09-20,1,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.9823516608469237,-0.18704334906991657,1.0,1.0,1.0,2,2,26.361538461538466,25.1,87.84615384615384,24.16923076923077,0.0,1009.7230769230769,23.0,3
2025-09-22,1,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.9882042449941422,-0.15314166701312007,1.0,1.0,1.0,3,3,27.1,26.3,83.61538461538461,24.092307692307692,0.2,1011.9230769230769,24.53846153846154,51
2025-09-25,1,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.994788305609327,-0.10196189005174576,1.0,1.0,1.0,4,4,27.638461538461538,26.5,75.61538461538461,22.923076923076927,0.0,1014.7000000000002,21.384615384615383,2
2025-09-26,1,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.9963950238187231,-0.08483487790576538,1.0,1.0,1.0,5,5,26.61538461538461,25.9,81.76923076923077,23.207692307692305,0.0,1014.8538461538462,44.69230769230769,3
2025-09-28,1,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.9987235240803972,-0.050510617185222886,1.0,1.0,1.0,6,6,26.953846153846147,26.4,78.53846153846153,22.884615384615383,0.0,1012.3307692307692,7.461538461538462,1
2025-10-01,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,-0.9999994220246925,0.001075151282798226,1.0,1.0,1.0,7,7,26.23846153846154,24.3,86.38461538461539,23.699999999999996,0.0,1011.6076923076924,15.461538461538462,2
2025-10-03,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,-0.9993706508539969,0.03547255575312556,0.875,0.875,0.8333333333333334,8,6,25.62307692307692,25.0,92.53846153846153,24.315384615384612,0.1,1014.6692307692308,62.76923076923077,51
2025-10-12,2,1,1,0,0,-0.8660254037844386,0.5000000000000001,-0.981947190186646,0.18915526872004093,0.7777777777777778,0.7777777777777778,0.3333333333333333,9,3,25.692307692307693,24.8,87.61538461538461,23.45384615384615,0.0,1011.4153846153847,42.61538461538461,3
2025-10-15,1,1,0,0,0,-0.8660254037844386,0.5000000000000001,-0.9708824104813836,0.23955655912092708,0.9,0.9,0.6666666666666666,10,3,26.084615384615383,25.5,79.84615384615384,22.292307692307695,0.0,1014.2230769230771,18.615384615384617,1
2025-10-16,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,-0.9666180104000972,0.2562218218071163,0.9,0.9090909090909091,1.0,11,3,25.053846153846152,24.1,88.15384615384616,22.95384615384615,0.0,1015.0923076923077,4.615384615384615,0
2025-10-17,2,1,1,0,0,-0.8660254037844386,0.5000000000000001,-0.9620675724981452,0.27281126433401914,0.8,0.8333333333333334,0.75,12,4,26.315384615384612,25.6,80.23076923076923,22.607692307692307,0.1,1014.2615384615384,19.384615384615383,51
2025-10-18,2,1,1,0,0,-0.8660254037844386,0.5000000000000001,-0.957232443323312,0.28931997761869527,0.9,0.9166666666666666,1.25,12,4,25.53846153846154,25.2,90.61538461538461,23.900000000000002,0.0,1014.0076923076923,15.153846153846153,1
