feature_set,estimator,feature_count,nights_scored,eligible,top30_hits,top30_rate,top1_hits,top1_rate,top5_hits,top5_rate,top10_hits,top10_rate,median_rank_pct,selection_score
no_recency_road_capture30,logistic_c1,45,31,90,12,0.13333333333333333,3,0.03333333333333333,14,0.15555555555555556,25,0.2777777777777778,0.29467477015254295,1.0971070593681729
no_recency_road_capture30,logistic_c005,45,31,90,12,0.13333333333333333,3,0.03333333333333333,14,0.15555555555555556,25,0.2777777777777778,0.30062671606904084,1.094131086409924
no_recency_road_capture30,extra_trees,45,31,90,13,0.14444444444444443,8,0.08888888888888889,17,0.18888888888888888,24,0.26666666666666666,0.4123906401888626,1.0938046799055687
no_recency_road_capture30,logistic_c02,45,31,90,12,0.13333333333333333,3,0.03333333333333333,14,0.15555555555555556,25,0.2777777777777778,0.324367260777785,1.082260814055552
terrain_large_capture,extra_trees,21,31,90,14,0.15555555555555556,6,0.06666666666666667,18,0.2,19,0.2111111111111111,0.4282531885950096,1.0303178501469397
no_recency_road,extra_trees,49,31,90,13,0.14444444444444443,5,0.05555555555555555,17,0.18888888888888888,21,0.23333333333333334,0.4277276623627249,1.0194695021519706
no_recency_road,logistic_c02,49,31,90,14,0.15555555555555556,4,0.044444444444444446,13,0.14444444444444443,21,0.23333333333333334,0.43245227606461084,1.017107195301028
terrain_large_capture,logistic_c02,21,31,90,14,0.15555555555555556,4,0.044444444444444446,13,0.14444444444444443,21,0.23333333333333334,0.43245227606461084,1.017107195301028
no_recency_road,logistic_c1,49,31,90,13,0.14444444444444443,4,0.044444444444444446,14,0.15555555555555556,21,0.23333333333333334,0.4218644993719708,0.9890677503140144
terrain_large_capture,logistic_c1,21,31,90,13,0.14444444444444443,4,0.044444444444444446,14,0.15555555555555556,21,0.23333333333333334,0.4218644993719708,0.9890677503140144
no_recency_road,logistic_c005,49,31,90,13,0.14444444444444443,4,0.044444444444444446,12,0.13333333333333333,21,0.23333333333333334,0.4323058057659465,0.9616248748948043
terrain_large_capture,logistic_c005,21,31,90,13,0.14444444444444443,4,0.044444444444444446,12,0.13333333333333333,21,0.23333333333333334,0.4323058057659465,0.9616248748948043
no_recency_road_capture30,hist_gb,45,31,90,13,0.14444444444444443,4,0.044444444444444446,10,0.1111111111111111,19,0.2111111111111111,0.3742841621623463,0.923969030029938
no_recency_road_capture30,random_forest,45,31,90,11,0.12222222222222222,4,0.044444444444444446,13,0.14444444444444443,20,0.2222222222222222,0.4596535877210724,0.8479509839172416
no_recency_road,random_forest,49,31,90,11,0.12222222222222222,5,0.05555555555555555,14,0.15555555555555556,17,0.18888888888888888,0.38399397707222893,0.8302252336861077
terrain_large_capture,random_forest,21,31,90,10,0.1111111111111111,4,0.044444444444444446,11,0.12222222222222222,18,0.2,0.4295153340758745,0.7519089996287294
no_recency_road,hist_gb,49,31,90,10,0.1111111111111111,4,0.044444444444444446,8,0.08888888888888889,15,0.16666666666666666,0.3869191058021121,0.6732071137656106
terrain_large_capture,hist_gb,21,31,90,10,0.1111111111111111,4,0.044444444444444446,8,0.08888888888888889,15,0.16666666666666666,0.3869191058021121,0.6732071137656106
