feature_set,estimator,feature_count,nights_scored,eligible,peak_hour_hits,peak_hour_rate,within_1h_hits,within_1h_rate,selection_score
capture_clock_prior,cyclic_kde_bw1.0,1,7,21,6,0.2857142857142857,13,0.6190476190476191,1.1904761904761905
capture_clock_prior,cyclic_kde_bw1.5,1,7,21,6,0.2857142857142857,13,0.6190476190476191,1.1904761904761905
capture_clock_prior,cyclic_kde_bw2.0,1,7,21,6,0.2857142857142857,13,0.6190476190476191,1.1904761904761905
clock_env_spatial,hist_gb,39,6,19,5,0.2631578947368421,11,0.5789473684210527,1.1052631578947367
clock_env,hist_gb,28,6,19,2,0.10526315789473684,10,0.5263157894736842,0.7368421052631579
capture_clock_prior,cyclic_kde_bw0.5,1,7,21,2,0.09523809523809523,11,0.5238095238095238,0.7142857142857143
clock_env,logistic_c005,28,6,19,3,0.15789473684210525,7,0.3684210526315789,0.6842105263157894
clock_env,logistic_c1,28,6,19,3,0.15789473684210525,6,0.3157894736842105,0.631578947368421
clock,logistic_c005,2,6,19,2,0.10526315789473684,8,0.42105263157894735,0.631578947368421
clock,logistic_c02,2,6,19,2,0.10526315789473684,8,0.42105263157894735,0.631578947368421
clock,logistic_c1,2,6,19,2,0.10526315789473684,8,0.42105263157894735,0.631578947368421
clock_env,logistic_c02,28,6,19,2,0.10526315789473684,7,0.3684210526315789,0.5789473684210527
clock_env_spatial,logistic_c02,39,6,19,2,0.10526315789473684,7,0.3684210526315789,0.5789473684210527
clock,extra_trees,2,6,19,1,0.05263157894736842,8,0.42105263157894735,0.5263157894736842
clock,random_forest,2,6,19,1,0.05263157894736842,8,0.42105263157894735,0.5263157894736842
clock,hist_gb,2,6,19,1,0.05263157894736842,8,0.42105263157894735,0.5263157894736842
clock_env,random_forest,28,6,19,1,0.05263157894736842,7,0.3684210526315789,0.47368421052631576
clock_env_spatial,extra_trees,39,6,19,1,0.05263157894736842,7,0.3684210526315789,0.47368421052631576
clock_env_spatial,logistic_c005,39,6,19,1,0.05263157894736842,6,0.3157894736842105,0.42105263157894735
clock_env,extra_trees,28,6,19,1,0.05263157894736842,5,0.2631578947368421,0.3684210526315789
clock_env_spatial,random_forest,39,6,19,1,0.05263157894736842,5,0.2631578947368421,0.3684210526315789
clock_env_spatial,logistic_c1,39,6,19,1,0.05263157894736842,3,0.15789473684210525,0.2631578947368421
