selection_rank,radius_m,bandwidth_h,recency_tau_days,local_weight,min_local,all_eligible,all_nights_scored,all_median_error_min,all_mean_error_min,all_within_30m_hits,all_within_30m_rate,all_within_60m_hits,all_within_60m_rate,all_within_90m_hits,all_within_90m_rate,all_within_120m_hits,all_within_120m_rate,all_selection_score,selection_eligible,selection_nights_scored,selection_median_error_min,selection_mean_error_min,selection_within_30m_hits,selection_within_30m_rate,selection_within_60m_hits,selection_within_60m_rate,selection_within_90m_hits,selection_within_90m_rate,selection_within_120m_hits,selection_within_120m_rate,selection_selection_score,confirmation_eligible,confirmation_nights_scored,confirmation_median_error_min,confirmation_mean_error_min,confirmation_within_30m_hits,confirmation_within_30m_rate,confirmation_within_60m_hits,confirmation_within_60m_rate,confirmation_within_90m_hits,confirmation_within_90m_rate,confirmation_within_120m_hits,confirmation_within_120m_rate,confirmation_selection_score
1,3000,2.0,120.0,0.95,2,138,44,72.5,97.06521739130434,29,0.21014492753623187,59,0.427536231884058,85,0.6159420289855072,97,0.7028985507246377,3.9572765700483092,98,29,74.0,107.44897959183673,18,0.1836734693877551,39,0.3979591836734694,56,0.5714285714285714,65,0.6632653061224489,3.6319160997732425,40,15,59.5,71.625,11,0.275,20,0.5,29,0.725,32,0.8,4.767361111111111
2,3000,2.0,,0.95,2,138,44,81.0,100.34057971014492,32,0.2318840579710145,56,0.4057971014492754,77,0.5579710144927537,95,0.6884057971014492,3.836775362318841,98,29,87.0,112.34693877551021,18,0.1836734693877551,35,0.35714285714285715,52,0.5306122448979592,63,0.6428571428571429,3.38937074829932,40,15,53.0,70.925,14,0.35,21,0.525,25,0.625,32,0.8,4.951388888888888
3,3000,1.5,120.0,0.95,2,138,44,74.0,102.28260869565217,26,0.18840579710144928,56,0.4057971014492754,79,0.572463768115942,95,0.6884057971014492,3.7015700483091787,98,29,85.0,113.26530612244898,17,0.17346938775510204,34,0.3469387755102041,53,0.5408163265306123,64,0.6530612244897959,3.3513321995464853,40,15,58.0,75.375,9,0.225,22,0.55,26,0.65,31,0.775,4.544444444444445
4,3000,1.5,,0.95,2,138,44,81.5,103.6304347826087,34,0.2463768115942029,56,0.4057971014492754,74,0.5362318840579711,92,0.6666666666666666,3.828834541062802,98,29,92.5,116.06122448979592,18,0.1836734693877551,36,0.3673469387755102,48,0.4897959183673469,61,0.6224489795918368,3.3103032879818595,40,15,54.5,73.175,16,0.4,20,0.5,26,0.65,31,0.775,5.099305555555556
5,2000,2.0,120.0,0.95,2,138,44,75.0,99.48550724637681,25,0.18115942028985507,56,0.4057971014492754,82,0.5942028985507246,95,0.6884057971014492,3.7146739130434785,98,29,82.0,110.85714285714286,13,0.1326530612244898,35,0.35714285714285715,54,0.5510204081632653,63,0.6428571428571429,3.233049886621315,40,15,58.0,71.625,12,0.3,21,0.525,28,0.7,32,0.8,4.894444444444445
6,250,1.0,120.0,0.95,2,138,44,91.0,108.0072463768116,30,0.21739130434782608,51,0.3695652173913043,68,0.4927536231884058,83,0.6014492753623188,3.4388285024154586,98,29,103.5,116.48979591836735,20,0.20408163265306123,32,0.32653061224489793,45,0.45918367346938777,57,0.5816326530612245,3.152168367346939,40,15,74.0,87.225,10,0.25,19,0.475,23,0.575,26,0.65,4.122222222222222
7,250,2.0,,0.95,2,138,44,88.5,102.05072463768116,25,0.18115942028985507,53,0.38405797101449274,70,0.5072463768115942,88,0.6376811594202898,3.40606884057971,98,29,101.0,111.6938775510204,18,0.1836734693877551,33,0.336734693877551,44,0.4489795918367347,59,0.6020408163265306,3.1046201814058954,40,15,59.5,78.425,7,0.175,20,0.5,26,0.65,29,0.725,4.142361111111111
8,500,2.0,120.0,0.95,2,138,44,87.5,98.94927536231884,30,0.21739130434782608,48,0.34782608695652173,71,0.5144927536231884,92,0.6666666666666666,3.487167874396135,98,29,96.5,108.75510204081633,17,0.17346938775510204,31,0.3163265306122449,48,0.4897959183673469,60,0.6122448979591837,3.1006660997732425,40,15,76.5,74.925,13,0.325,17,0.425,23,0.575,32,0.8,4.41875
9,2000,2.0,,0.95,2,138,44,80.0,102.42753623188406,28,0.2028985507246377,53,0.38405797101449274,77,0.5579710144927537,93,0.6739130434782609,3.6425120772946857,98,29,90.5,115.0,14,0.14285714285714285,33,0.336734693877551,49,0.5,62,0.6326530612244898,3.08859126984127,40,15,54.5,71.625,14,0.35,20,0.5,28,0.7,31,0.775,4.999305555555556
10,250,1.5,120.0,0.95,2,138,44,87.5,102.34057971014492,30,0.21739130434782608,50,0.36231884057971014,70,0.5072463768115942,88,0.6376811594202898,3.4871678743961354,98,29,100.5,112.38775510204081,19,0.19387755102040816,30,0.30612244897959184,45,0.45918367346938777,59,0.6020408163265306,3.0747023809523806,40,15,64.0,77.725,11,0.275,20,0.5,25,0.625,29,0.725,4.486111111111112
