radius_m,bandwidth_h,recency_tau_days,nights_scored,eligible_gps_captures,exact_hour_hits,exact_hour_rate,within_1h_hits,within_1h_rate,selection_score
1000,0.75,,7,20,10,0.5,16,0.8,1.8
2000,0.75,,7,20,10,0.5,16,0.8,1.8
1000,0.75,120.0,7,20,10,0.5,15,0.75,1.75
1000,1.5,120.0,7,20,10,0.5,15,0.75,1.75
2000,1.0,,7,20,9,0.45,16,0.8,1.7000000000000002
2000,1.5,,7,20,9,0.45,16,0.8,1.7000000000000002
2000,2.0,,7,20,9,0.45,16,0.8,1.7000000000000002
3000,0.75,,7,20,9,0.45,16,0.8,1.7000000000000002
1000,1.0,120.0,7,20,9,0.45,15,0.75,1.65
1000,1.5,,7,20,9,0.45,15,0.75,1.65
1000,2.0,,7,20,9,0.45,15,0.75,1.65
1000,2.0,120.0,7,20,9,0.45,14,0.7,1.6
2000,0.75,120.0,7,20,8,0.4,16,0.8,1.6
2000,1.5,120.0,7,20,8,0.4,16,0.8,1.6
3000,0.75,120.0,7,20,8,0.4,16,0.8,1.6
3000,1.0,,7,20,8,0.4,16,0.8,1.6
3000,1.5,,7,20,8,0.4,16,0.8,1.6
1000,1.0,,7,20,8,0.4,15,0.75,1.55
2000,1.0,120.0,7,20,7,0.35,16,0.8,1.5
3000,1.0,120.0,7,20,7,0.35,16,0.8,1.5
3000,1.5,120.0,7,20,7,0.35,16,0.8,1.5
3000,2.0,,7,20,7,0.35,16,0.8,1.5
500,2.0,,7,20,8,0.4,13,0.65,1.4500000000000002
2000,2.0,120.0,7,20,7,0.35,15,0.75,1.45
3000,2.0,120.0,7,20,7,0.35,15,0.75,1.45
500,1.0,120.0,7,20,7,0.35,14,0.7,1.4
250,1.5,,7,20,7,0.35,13,0.65,1.35
500,1.5,,7,20,7,0.35,13,0.65,1.35
500,1.0,,7,20,7,0.35,12,0.6,1.2999999999999998
500,1.5,120.0,7,20,6,0.3,14,0.7,1.2999999999999998
500,2.0,120.0,7,20,6,0.3,14,0.7,1.2999999999999998
250,1.0,120.0,7,20,6,0.3,13,0.65,1.25
250,2.0,,7,20,6,0.3,13,0.65,1.25
500,0.75,120.0,7,20,7,0.35,10,0.5,1.2
250,0.75,120.0,7,20,6,0.3,12,0.6,1.2
250,1.0,,7,20,6,0.3,12,0.6,1.2
250,2.0,120.0,7,20,6,0.3,12,0.6,1.2
500,0.75,,7,20,6,0.3,12,0.6,1.2
250,1.5,120.0,7,20,4,0.2,13,0.65,1.05
250,0.75,,7,20,4,0.2,12,0.6,1.0
