night,phase,rank,slot_time,score
2026-08-15,selection,1,2026-08-16T00:20:00+09:00,0.9994934435320175
2026-08-15,selection,2,2026-08-16T00:50:00+09:00,0.9994934435320175
2026-08-15,selection,3,2026-08-16T00:20:00+09:00,0.9977820567294949
2026-08-15,selection,4,2026-08-16T00:50:00+09:00,0.9977820567294949
2026-08-15,selection,5,2026-08-16T00:20:00+09:00,0.9964187787787193
2026-08-15,selection,6,2026-08-16T00:50:00+09:00,0.9964187787787193
2026-08-15,selection,7,2026-08-16T00:10:00+09:00,0.9938023218795891
2026-08-15,selection,8,2026-08-16T00:40:00+09:00,0.9938023218795891
2026-08-15,selection,9,2026-08-16T00:10:00+09:00,0.9926899782571298
2026-08-15,selection,10,2026-08-16T00:40:00+09:00,0.9926899782571298
2026-08-15,selection,11,2026-08-16T01:50:00+09:00,0.9893297324624103
2026-08-15,selection,12,2026-08-16T01:10:00+09:00,0.9893297324624103
2026-08-15,selection,13,2026-08-16T00:50:00+09:00,0.9843775294145576
2026-08-15,selection,14,2026-08-16T00:20:00+09:00,0.9843775294145576
2026-08-15,selection,15,2026-08-16T00:00:00+09:00,0.9834410415133711
2026-08-15,selection,16,2026-08-16T00:40:00+09:00,0.9834410415133711
2026-08-15,selection,17,2026-08-16T01:30:00+09:00,0.9810454211772618
2026-08-15,selection,18,2026-08-16T01:30:00+09:00,0.9801121032783929
2026-08-15,selection,19,2026-08-16T00:50:00+09:00,0.9767936507125834
2026-08-15,selection,20,2026-08-16T00:10:00+09:00,0.9767936507125834
2026-08-15,selection,21,2026-08-16T00:40:00+09:00,0.9740161514285572
2026-08-15,selection,22,2026-08-16T00:10:00+09:00,0.9740161514285572
2026-08-15,selection,23,2026-08-16T01:20:00+09:00,0.9734872138299644
2026-08-15,selection,24,2026-08-16T01:50:00+09:00,0.9734872138299644
2026-08-15,selection,25,2026-08-16T01:10:00+09:00,0.9707191163536459
2026-08-15,selection,26,2026-08-16T01:50:00+09:00,0.9707191163536459
2026-08-15,selection,27,2026-08-16T00:20:00+09:00,0.9690716465042178
2026-08-15,selection,28,2026-08-16T00:50:00+09:00,0.9690716465042178
2026-08-15,selection,29,2026-08-16T01:50:00+09:00,0.9657913485297538
2026-08-15,selection,30,2026-08-16T01:20:00+09:00,0.9657913485297538
2026-08-15,selection,31,2026-08-16T00:40:00+09:00,0.9649136048048711
2026-08-15,selection,32,2026-08-16T00:00:00+09:00,0.9649136048048711
2026-08-15,selection,33,2026-08-16T00:20:00+09:00,0.9631356047836114
2026-08-15,selection,34,2026-08-16T00:50:00+09:00,0.9631356047836114
2026-08-15,selection,35,2026-08-16T00:40:00+09:00,0.961150911865262
2026-08-15,selection,36,2026-08-16T00:10:00+09:00,0.961150911865262
2026-08-15,selection,37,2026-08-16T00:10:00+09:00,0.9602158394570598
2026-08-15,selection,38,2026-08-16T00:40:00+09:00,0.9602158394570598
2026-08-15,selection,39,2026-08-16T01:40:00+09:00,0.9598754002518795
2026-08-15,selection,40,2026-08-16T00:40:00+09:00,0.9598697117831596
2026-08-15,selection,41,2026-08-16T00:00:00+09:00,0.9598697117831596
2026-08-15,selection,42,2026-08-16T01:10:00+09:00,0.9578974254995022
2026-08-15,selection,43,2026-08-16T01:40:00+09:00,0.9578974254995022
2026-08-15,selection,44,2026-08-16T01:40:00+09:00,0.9575185512328767
2026-08-15,selection,45,2026-08-16T01:10:00+09:00,0.9575185512328767
2026-08-15,selection,46,2026-08-16T01:30:00+09:00,0.9569655183021878
2026-08-15,selection,47,2026-08-16T01:50:00+09:00,0.956620562267053
2026-08-15,selection,48,2026-08-16T01:10:00+09:00,0.956620562267053
2026-08-15,selection,49,2026-08-16T00:00:00+09:00,0.9552553483625229
2026-08-15,selection,50,2026-08-16T00:50:00+09:00,0.9552553483625229
2026-08-15,selection,51,2026-08-16T01:20:00+09:00,0.9539845540300705
