family,params,eligible,nights,median_error_min,mean_error_min,within_30m_hits,within_30m_rate,within_60m_hits,within_60m_rate,within_90m_hits,within_90m_rate,within_120m_hits,within_120m_rate,score
recency120,{},98,29,86.0,117.6734693877551,11,0.11224489795918367,35,0.35714285714285715,50,0.5102040816326531,62,0.6326530612244898,3.0540249433106577
no_decay,{},98,29,97.5,123.93877551020408,13,0.1326530612244898,34,0.3469387755102041,45,0.45918367346938777,59,0.6020408163265306,2.956420068027211
recency_season,"{""tau_days"": 90, ""season_bw"": 30}",98,29,77.0,99.93877551020408,18,0.1836734693877551,38,0.3877551020408163,56,0.5714285714285714,69,0.7040816326530612,3.6379535147392295
recency_season,"{""tau_days"": 90, ""season_bw"": 45}",98,29,79.5,106.14285714285714,16,0.16326530612244897,41,0.41836734693877553,54,0.5510204081632653,65,0.6632653061224489,3.563052721088435
recency_season,"{""tau_days"": 90, ""season_bw"": 60}",98,29,83.5,113.04081632653062,12,0.12244897959183673,38,0.3877551020408163,52,0.5306122448979592,62,0.6326530612244898,3.230966553287982
recency_season,"{""tau_days"": 90, ""season_bw"": 90}",98,29,85.0,115.40816326530613,11,0.11224489795918367,36,0.3673469387755102,51,0.5204081632653061,60,0.6122448979591837,3.0860260770975065
recency_season,"{""tau_days"": 120, ""season_bw"": 30}",98,29,77.0,101.44897959183673,17,0.17346938775510204,38,0.3877551020408163,56,0.5714285714285714,69,0.7040816326530612,3.5971371882086167
recency_season,"{""tau_days"": 120, ""season_bw"": 45}",98,29,83.5,110.38775510204081,13,0.1326530612244898,39,0.3979591836734694,53,0.5408163265306123,62,0.6326530612244898,3.3228032879818596
recency_season,"{""tau_days"": 120, ""season_bw"": 60}",98,29,85.0,114.79591836734694,12,0.12244897959183673,37,0.37755102040816324,51,0.5204081632653061,60,0.6122448979591837,3.1574546485260777
recency_season,"{""tau_days"": 120, ""season_bw"": 90}",98,29,83.5,116.14285714285714,11,0.11224489795918367,36,0.3673469387755102,52,0.5306122448979592,62,0.6326530612244898,3.1289257369614516
recency_season,"{""tau_days"": 180, ""season_bw"": 30}",98,29,77.0,103.48979591836735,17,0.17346938775510204,37,0.37755102040816324,56,0.5714285714285714,67,0.6836734693877551,3.5461167800453515
recency_season,"{""tau_days"": 180, ""season_bw"": 45}",98,29,85.0,113.26530612244898,13,0.1326530612244898,37,0.37755102040816324,51,0.5204081632653061,61,0.6224489795918368,3.208475056689343
recency_season,"{""tau_days"": 180, ""season_bw"": 60}",98,29,85.0,115.40816326530613,12,0.12244897959183673,36,0.3673469387755102,51,0.5204081632653061,60,0.6122448979591837,3.1268424036281184
recency_season,"{""tau_days"": 180, ""season_bw"": 90}",98,29,86.0,117.9795918367347,10,0.10204081632653061,35,0.35714285714285715,50,0.5102040816326531,62,0.6326530612244898,3.0132086167800454
