operational_night,filename,gps_points,start_utc,end_utc,duration_h,distance_km,median_gap_s,p95_gap_s,max_gap_s,gaps_gt_300s,sha256
2026-08-12,2026-08-12-0834 タイトルのないトラック.gpx,25453,2026-08-12T11:34:27.143000+00:00,2026-08-12T18:38:53.999000+00:00,7.074127,86.712790,1.000,1.000,3.949,0,1b390060aa8f553e55cbd9f6d2e8f45dbb9859a5fe6f22edc9e8daf0aa00cded
2026-08-13,2026-08-13-探索.gpx,16019,2026-08-13T11:17:55.999000+00:00,2026-08-13T15:46:21.999000+00:00,4.473889,53.142084,1.000,1.000,87.000,0,966adf290ef0390961b37b84d564b3e3328cfea85ee0376acb91c8dcf93d1645
2026-08-15,8:15探索.gpx,20057,2026-08-15T11:01:44.999000+00:00,2026-08-15T16:37:52+00:00,5.601945,77.718390,1.000,1.000,44.733,0,932c3852dd72358efc64765781fa2583c9e0202b197d482f82cde88446d73bc6
2026-08-17,2026-08-17-探索.gpx,15710,2026-08-17T12:33:05.999000+00:00,2026-08-17T16:55:33.999000+00:00,4.374444,47.694561,1.000,1.000,35.170,0,56a0afe409d18e42f3f96664e1b168c6016d1c738e0dd305945a44d77c73088d
2026-08-19,2026-08-19探索.gpx,22361,2026-08-19T11:38:57.001000+00:00,2026-08-19T17:52:25.999000+00:00,6.224722,74.020717,1.000,1.000,27.692,0,1af6d99292a12b483153af4b8f1550a582a783e3f830096e3420f1fee187689c
2026-08-21,2026-08-21-探索.gpx,13913,2026-08-21T13:42:46.026000+00:00,2026-08-21T17:38:19.999000+00:00,3.926104,52.162120,1.000,1.000,144.648,0,ac90d290b2add3f39b2727be9eb0c6c20bedf63bfee2994fabca6fb0cb414b55
2026-08-23,2026-08-23-探索.gpx,23086,2026-08-23T12:08:13.999000+00:00,2026-08-23T18:33:20.998000+00:00,6.418611,70.640821,1.000,1.000,17.216,0,ea3cbaca5cde18919e9b95fbabcbf66dbbd9c944f17e4c40da081c237c56def3
2026-08-24,2026-08-24-探索.gpx,21246,2026-08-24T11:27:23.003000+00:00,2026-08-24T17:22:19.999000+00:00,5.915832,63.326320,1.000,1.000,32.580,0,5995bc3e8addb65f873d1416f57f18153b9a5d769bf48ff4ffb84f3c581bc671
2026-08-27,2026-08-27-0921探索.gpx,21005,2026-08-27T12:21:57+00:00,2026-08-27T18:13:46.999000+00:00,5.863889,66.206737,1.000,1.000,29.604,0,28bdafbaac617fffbe1dc1bd764bfb9ab5179bf623e9e0d323c20d1b9ac9d108
2026-08-28,2026-08-28探索.gpx,21394,2026-08-28T12:14:07.837000+00:00,2026-08-28T18:10:42.999000+00:00,5.943101,64.344103,1.000,1.000,3.938,0,d10ef5ec68db9bef4e792ecb0a8cee418e9277872f09d536363b22b49bce7ee5
2026-08-29,2026-08-29-探索.gpx,13565,2026-08-29T14:05:01.972000+00:00,2026-08-29T17:53:39.998000+00:00,3.810563,50.701331,1.000,1.000,148.999,0,23686f0561ffc72e7310943f98f2953afdfa1908b683fdd101e9f7cfa28b6efe
2026-08-31,2026-08-31-探索.gpx,17906,2026-08-31T11:29:18.998000+00:00,2026-08-31T16:29:07.999000+00:00,4.996945,58.429137,1.000,1.000,50.826,0,870047567bb0d9bafca0789f768fda3b7b90eb5788f259d043cdb885ce219bd1
2026-09-02,2026-09-02-探索.gpx,12032,2026-09-02T12:58:33.013000+00:00,2026-09-02T16:22:54.999000+00:00,3.406107,52.010308,1.000,1.000,99.804,0,a31e9ccdbc8f82b19681774546f3ae9a2c2aa8459334f231884e48008cfba307
2026-09-04,2026-09-04-探索.gpx,17751,2026-09-04T12:32:59.948000+00:00,2026-09-04T17:29:35.999000+00:00,4.943348,83.761954,1.000,1.000,32.978,0,29aeebb78545ec897c363024b813c6d04975c4ed13c7f243cd71d60516134904
